1,Indeterminate,Indeterminate,Indeterminate
2,15.7735,83.3498,17.2464
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,-41.46,165.74,2.18
9,-18.11,-47.63,9.38
10,26.42,-78.03,4.11
11,61.74,47.72,1.55
12,19.96,-130.6,7.17
28,24.06,-175.66,2.89
101,64.4843,77.7561,39.2678
102,49.4074,78.4366,33.543
103,64.4843,77.7561,39.2678
104,64.4843,77.7561,39.2678
105,72.8874,63.0088,44.684
107,58.3387,84.6103,35.2582
108,64.4843,77.7561,39.2678
109,64.4843,77.7561,39.2678
110,64.4843,77.7561,39.2678
111,62.7679,77.4888,40.6514
112,64.4843,77.7561,39.2678
113,64.4843,77.7561,39.2678
114,62.5438,76.3196,38.0652
116,64.4843,77.7561,39.2678
117,62.5438,76.3196,38.0652
118,64.4843,77.7561,39.2678
120,63.1535,77.6326,38.6716
121,59.0667,79.0623,37.676
122,61.4573,77.5502,38.5609
123,61.2037,78.6191,37.6549
124,61.7317,78.9675,37.4969
130,49.4074,78.4366,33.543
131,68.2692,32.303,43.3402
132,68.2692,32.303,43.3402
133,63.1535,77.6326,38.6716
134,63.1535,77.6326,38.6716
135,63.1535,77.6326,38.6716
140,64.4843,77.7561,39.2678
141,59.0667,79.0623,37.676
154,64.4843,77.7561,39.2678
155,64.4843,77.7561,39.2678
160,64.4843,77.7561,39.2678
173,64.4843,77.7561,39.2678
176,64.4843,77.7561,39.2678
178,64.4843,77.7561,39.2678
182,64.4843,77.7561,39.2678
183,64.4843,77.7561,39.2678
184,64.4843,77.7561,39.2678
185,64.4843,77.7561,39.2678
199,64.4843,77.7561,39.2678
201,76.1299,27.7276,28.4132
202,76.1299,27.7276,28.4132
204,64.4843,77.7561,39.2678
205,64.4843,77.7561,39.2678
208,68.1592,-43.3574,44.8446
209,64.4843,77.7561,39.2678
210,64.4843,77.7561,39.2678
211,64.4843,77.7561,39.2678
212,64.4843,77.7561,39.2678
213,64.4843,77.7561,39.2678
215,64.4843,77.7561,39.2678
216,-12.1565,-84.4482,-73.0369
222,-3.74622,-80.0033,-71.2423
224,-3.24023,-80.9586,-61.5088
225,64.062,-17.8898,29.6964
226,64.062,-17.8898,29.6964
227,64.062,-17.8898,29.6964
228,64.062,-17.8898,29.6964
233,64.4843,77.7561,39.2678
234,-2.15222,-80.2509,-61.8369
235,-3.24023,-80.9586,-61.5088
252,-3.2956,-79.397,-69.5643
253,12.4614,87.7596,43.9482
254,15.8429,83.3286,42.2172
255,-10.8364,-87.8414,-57.2022
280,75.9066,25.8036,28.2599
283,75.9066,25.8036,28.2599
288,75.9066,25.8036,28.2599
290,75.9066,25.8036,28.2599
291,75.9066,25.8036,28.2599
293,76.1299,27.7276,28.4132
294,75.2799,19.2271,26.6176
301,39.9481,61.567,22.9601
302,39.9481,61.567,22.9601
304,19.3181,-38.1183,-25.395
305,39.9481,61.567,22.9601
306,30.5848,-12.1172,-50.0583
307,22.188,-23.4037,-40.448
308,19.7061,-25.504,-36.8871
309,39.9481,61.567,22.9601
311,39.9481,61.567,22.9601
315,39.9481,61.567,22.9601
317,36.741,59.6408,22.5686
318,39.9481,61.567,22.9601
319,39.9481,61.567,22.9601
322,30.6632,-13.0372,-45.5535
323,23.1827,-29.2788,-35.8996
328,20.6734,-29.17,-31.9156
329,19.3181,-38.1183,-25.395
330,39.9481,61.567,22.9601
331,39.9481,61.567,22.9601
334,18.5354,-38.7081,-27.6483
337,21.841,-40.6332,-27.2044
338,39.9481,61.567,22.9601
339,-26.0066,-80.0611,-51.6623
340,21.6551,-37.5039,-28.0173
344,39.9481,61.567,22.9601
346,24.1135,-24.8738,-37.5366
347,3.84688,74.9092,30.3629
349,39.9481,61.567,22.9601
352,22.7806,-32.5616,-33.2582
354,22.188,-23.4037,-40.448
355,19.7061,-25.504,-36.8871
356,39.9481,61.567,22.9601
357,39.9481,61.567,22.9601
358,34.436,79.8895,18.9693
359,30.5848,-12.1172,-50.0583
372,39.9481,61.567,22.9601
373,39.9481,61.567,22.9601
374,39.9481,61.567,22.9601
375,39.9481,61.567,22.9601
380,39.9481,61.567,22.9601
390,39.9481,61.567,22.9601
401,39.9481,61.567,22.9601
402,39.9481,61.567,22.9601
404,39.9481,61.567,22.9601
406,-53.3225,23.4779,52.3254
407,58.1963,80.2427,34.5452
409,58.1963,80.2427,34.5452
410,39.9481,61.567,22.9601
415,39.9481,61.567,22.9601
416,23.7748,49.8644,20.5812
430,39.9481,61.567,22.9601
446,0.259968,-68.7224,-80.0967
450,39.9481,61.567,22.9601
451,39.9481,61.567,22.9601
453,39.9481,61.567,22.9601
454,39.9481,61.567,22.9601
455,39.9481,61.567,22.9601
