1,Indeterminate,Indeterminate,Indeterminate
2,18.9578,75.1904,10.5112
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,-41.46,165.74,2.18
9,-18.11,-47.63,9.38
10,28.14,-75.9,4.1
11,61.74,47.72,1.55
12,21.23,-131.36,7.42
28,24.06,-175.66,2.89
101,63.2174,87.7138,31.7211
102,44.7753,84.4495,26.3982
103,63.2174,87.7138,31.7211
104,63.2174,87.7138,31.7211
105,74.4975,75.4424,37.1023
107,-54.7119,-86.324,-27.9459
108,63.2174,87.7138,31.7211
109,63.2174,87.7138,31.7211
110,63.2174,87.7138,31.7211
111,63.2174,87.7138,31.7211
112,63.2174,87.7138,31.7211
113,63.2174,87.7138,31.7211
114,61.0225,85.3581,30.4786
116,63.2174,87.7138,31.7211
117,61.0225,85.3581,30.4786
118,63.2174,87.7138,31.7211
120,61.6207,87.002,31.1164
121,56.4562,86.9969,30.1726
122,59.5755,86.0802,31.0017
123,59.1109,87.447,30.1268
124,59.7058,88.1524,29.9775
130,44.7753,84.4495,26.3982
131,71.0362,31.1435,35.5252
132,71.0362,31.1435,35.5252
133,61.6207,87.002,31.1164
134,61.6207,87.002,31.1164
135,61.6207,87.002,31.1164
140,63.2174,87.7138,31.7211
141,56.4562,86.9969,30.1726
154,63.2174,87.7138,31.7211
155,63.2174,87.7138,31.7211
160,63.2174,87.7138,31.7211
173,63.2174,87.7138,31.7211
176,63.2174,87.7138,31.7211
178,63.2174,87.7138,31.7211
182,63.2174,87.7138,31.7211
183,63.2174,87.7138,31.7211
184,63.2174,87.7138,31.7211
185,63.2174,87.7138,31.7211
199,63.2174,87.7138,31.7211
201,75.8279,35.8868,24.3481
202,75.8279,35.8868,24.3481
204,63.2174,87.7138,31.7211
205,63.2174,87.7138,31.7211
208,66.3665,-62.0855,38.7877
209,63.2174,87.7138,31.7211
210,63.2174,87.7138,31.7211
211,63.2174,87.7138,31.7211
212,63.2174,87.7138,31.7211
213,63.2174,87.7138,31.7211
215,63.2174,87.7138,31.7211
216,-7.40229,-85.6379,-65.997
222,2.08938,-81.3212,-65.2679
224,3.61017,-82.0254,-55.6085
225,63.1204,-19.5426,25.5699
226,63.1204,-19.5426,25.5699
227,63.1204,-19.5426,25.5699
228,63.1204,-19.5426,25.5699
233,63.2174,87.7138,31.7211
234,4.78899,-81.3288,-56.0928
235,3.61017,-82.0254,-55.6085
237,-1.79622,-87.6351,-50.1188
252,2.76219,-80.6367,-63.6789
253,4.61926,86.6666,36.8023
254,8.55005,81.8056,34.6753
255,-4.63715,-88.9589,-50.2439
280,75.8279,35.8868,24.3481
283,75.8279,35.8868,24.3481
288,75.8279,35.8868,24.3481
290,75.8279,35.8868,24.3481
291,75.8279,35.8868,24.3481
293,75.8279,35.8868,24.3481
294,70.8462,26.6678,22.3469
301,31.5427,64.8466,15.8921
302,31.5427,64.8466,15.8921
304,24.5865,-41.578,-21.0975
305,31.5427,64.8466,15.8921
306,34.6977,-11.8779,-46.414
307,26.1822,-24.9567,-35.8583
308,23.7237,-27.2792,-32.1866
309,31.5427,64.8466,15.8921
311,31.5427,64.8466,15.8921
315,31.5427,64.8466,15.8921
317,29.2229,60.9917,15.9455
318,31.5427,64.8466,15.8921
319,31.5427,64.8466,15.8921
322,35.1655,-12.6848,-41.9042
323,27.5882,-31.9893,-31.4008
328,25.4132,-31.8681,-27.3023
329,24.5865,-41.578,-21.0975
330,31.5427,64.8466,15.8921
331,31.5427,64.8466,15.8921
334,23.108,-43.7501,-23.1251
337,26.9471,-46.5052,-22.9013
338,31.5427,64.8466,15.8921
339,-20.2659,-78.8395,-44.1863
340,26.7961,-42.4942,-23.6148
344,31.5427,64.8466,15.8921
346,28.6509,-26.8255,-33.0583
347,5.34581,64.7051,29.9663
349,31.5427,64.8466,15.8921
352,27.1488,-34.4009,-29.7788
354,26.1822,-24.9567,-35.8583
355,23.7237,-27.2792,-32.1866
356,31.5427,64.8466,15.8921
357,31.5427,64.8466,15.8921
358,37.1006,61.4668,17.8819
359,34.6977,-11.8779,-46.414
372,31.5427,64.8466,15.8921
373,31.5427,64.8466,15.8921
374,31.5427,64.8466,15.8921
375,31.5427,64.8466,15.8921
380,31.5427,64.8466,15.8921
390,31.5427,64.8466,15.8921
401,31.5427,64.8466,15.8921
402,31.5427,64.8466,15.8921
404,31.5427,64.8466,15.8921
406,-58.9854,13.9163,55.3623
407,55.8216,88.9556,27.4328
409,55.8216,88.9556,27.4328
410,31.5427,64.8466,15.8921
415,31.5427,64.8466,15.8921
416,7.95408,48.3605,14.6057
430,31.5427,64.8466,15.8921
446,-1.54543,-73.2942,-75.6834
450,31.5427,64.8466,15.8921
451,31.5427,64.8466,15.8921
453,31.5427,64.8466,15.8921
454,31.5427,64.8466,15.8921
455,31.5427,64.8466,15.8921
456,31.5427,64.8466,15.8921
457,31.5427,64.8466,15.8921
458,31.5427,64.8466,15.8921
459,31.5427,64.8466,15.8921
460,31.5427,64.8466,15.8921
461,31.5427,64.8466,15.8921
462,31.5427,64.8466,15.8921
463,31.5427,64.8466,15.8921
464,31.5427,64.8466,15.8921
465,31.5427,64.8466,15.8921
466,31.5427,64.8466,15.8921
467,31.5427,64.8466,15.8921
468,31.5427,64.8466,15.8921
469,30.4062,-83.1044,110.408
470,62.2482,4.75393,-121.121
471,30.4062,-83.1044,110.408
472,4.75047,28.1974,-37.6147
473,30.4062,-83.1044,110.408
474,-6.36367,-13.3518,-31.0123
475,31.1357,42.1864,-33.6366
498,25.2754,-68.4473,-171.104
499,20.1042,-74.281,-163.225
501,18.7182,6.14362,-76.181
502,18.7182,6.14362,-76.181
503,27.9694,-23.8428,-35.3345
504,31.5427,64.8466,15.8921
505,31.5427,64.8466,15.8921
506,31.5427,64.8466,15.8921
508,27.9913,-20.5579,-37.7215
509,27.9913,-20.5579,-37.7215
511,15.2581,9.07144,-78.2606
514,-67.3046,-50.0407,19.2471
517,21.8848,16.9337,-46.4448
518,14.6877,-18.9373,-35.9457
520,31.5427,64.8466,15.8921
521,31.5427,64.8466,15.8921
522,31.2405,-17.1949,-36.3774
525,29.9263,-20.9989,-32.457
526,31.5427,64.8466,15.8921
528,31.0228,4.51682,-13.94
529,18.4082,-19.9505,-34.6648
530,-12.4274,-79.3359,-21.4895
531,16.5079,-36.6056,-23.2098
532,-67.01,7.34848,11.1123
533,-1.54543,-73.2942,-75.6834
534,15.2163,29.1199,-49.8387
538,26.4233,-26.8163,-34.4091
539,27.1488,-34.4009,-29.7788
540,31.5427,64.8466,15.8921
542,26.8157,-18.5285,-40.3994
543,27.9694,-23.8428,-35.3345
544,27.2587,-25.9011,-34.519
545,27.1488,-34.4009,-29.7788
550,15.2205,8.54784,-81.0497
551,31.5427,64.8466,15.8921
554,14.6877,-18.9373,-35.9457
555,27.1488,-34.4009,-29.7788
556,27.9694,-23.8428,-35.3345
557,34.7959,60.2432,16.0548
558,14.515,77.8085,18.0502
559,14.515,77.8085,18.0502
560,14.515,77.8085,18.0502
563,20.8506,85.1726,34.7857
564,-1.23377,-31.4966,-56.5223
565,28.1437,-5.96878,-32.4369
566,34.9178,31.1206,-25.0934
567,-1.86786,-26.7663,-49.7277
568,13.8521,15.5434,-67.6649
569,18.7182,6.14362,-76.181
570,18.7182,6.14362,-76.181
571,18.7182,6.14362,-76.181
572,13.8521,15.5434,-67.6649
573,31.1357,42.1864,-33.6366
574,31.1357,42.1864,-33.6366
575,18.7182,6.14362,-76.181
578,34.8128,40.7791,-27.9629
579,34.8128,40.7791,-27.9629
580,31.5427,64.8466,15.8921
590,31.5427,64.8466,15.8921
591,31.5427,64.8466,15.8921
601,31.5427,64.8466,15.8921
602,31.5427,64.8466,15.8921
603,23.6174,83.5782,34.2086
604,22.6286,82.0922,30.1134
605,17.5861,28.5652,-84.6085
606,31.0228,4.51682,-13.94
607,-27.7732,-76.2751,-24.7767
608,-6.36367,-13.3518,-31.0123
609,4.75047,28.1974,-37.6147
612,31.5427,64.8466,15.8921
613,23.2929,75.6113,26.0624
614,4.95963,-56.2552,54.5572
615,31.1357,42.1864,-33.6366
616,31.5427,64.8466,15.8921
617,21.2787,78.3499,30.2469
619,34.8263,71.5297,13.9187
621,34.8263,71.5297,13.9187
622,31.5427,64.8466,15.8921
623,31.5427,64.8466,15.8921
624,31.5427,64.8466,15.8921
625,27.9941,60.2305,17.7782
626,27.9941,60.2305,17.7782
627,27.9941,60.2305,17.7782
628,27.9074,65.8321,19.9329
629,28.5916,65.6661,19.2503
630,28.2049,65.7541,19.5244
631,28.5916,65.6661,19.2503
641,31.5427,64.8466,15.8921
646,4.95963,-56.2552,54.5572
647,24.4205,84.9773,30.1229
648,-34.5265,-82.1861,-31.6207
649,16.1041,38.7512,13.0314
653,4.77637,-29.8032,-65.6706
657,10.1238,-57.5696,56.4013
658,23.2929,75.6113,26.0624
660,30.2496,66.9016,17.1435
662,7.95408,48.3605,14.6057
663,-13.5365,-69.0138,-123.355
667,20.7735,35.5562,-26.6732
668,-1.63588,-71.3248,95.7764
670,4.47797,64.9535,-35.4196
673,24.4205,84.9773,30.1229
674,-1.23377,-31.4966,-56.5223
675,31.1357,42.1864,-33.6366
677,20.8506,85.1726,34.7857
678,-1.23377,-31.4966,-56.5223
679,-1.86786,-26.7663,-49.7277
680,-1.86786,-26.7663,-49.7277
681,18.9757,69.4116,-36.2714
684,31.1357,42.1864,-33.6366
686,24.3876,88.8727,31.3938
691,-18.1859,-39.9967,55.8691
698,34.8128,40.7791,-27.9629
701,27.1488,-34.4009,-29.7788
702,27.1488,-34.4009,-29.7788
704,22.6195,-16.4391,-39.3143
706,27.1488,-34.4009,-29.7788
707,-7.17618,89.8487,12.2037
708,19.4234,-62.7133,-12.1948
709,29.0335,-35.0331,-29.7783
710,25.7064,-20.2707,-33.2225
712,27.1488,-34.4009,-29.7788
713,27.1488,-34.4009,-29.7788
714,27.1488,-34.4009,-29.7788
715,27.1488,-34.4009,-29.7788
716,27.1488,-34.4009,-29.7788
717,18.7458,12.4095,-12.0669
718,27.1488,-34.4009,-29.7788
720,24.5865,-41.578,-21.0975
721,27.1488,-34.4009,-29.7788
723,27.1488,-34.4009,-29.7788
726,27.3821,-35.0378,-29.4715
727,-10.6333,-84.9385,-64.733
734,38.0694,65.8293,-53.5618
735,-16.0676,-74.6763,-92.8146
736,-30.6091,-83.1803,23.6193
737,-1.23377,-31.4966,-56.5223
738,24.5145,84.933,34.4631
740,21.9491,-65.7379,-164.058
750,14.6039,-37.9704,-22.2019
752,27.1488,-34.4009,-29.7788
754,26.1822,-24.9567,-35.8583
762,31.1357,42.1864,-33.6366
763,31.1357,42.1864,-33.6366
765,31.1357,42.1864,-33.6366
767,24.27,33.7356,-33.8738
769,15.1414,29.3294,-49.5749
770,2.88096,-71.2309,-65.9511
774,29.8206,39.9814,-33.584
775,-67.3046,-50.0407,19.2471
778,17.9919,1.66378,-71.2286
779,18.7182,6.14362,-76.181
780,4.75047,28.1974,-37.6147
781,34.8128,40.7791,-27.9629
784,47.2275,-19.1133,-19.2218
786,21.148,-71.8577,-145.116
787,-14.6805,-75.7137,-38.0904
789,24.9458,84.7574,32.691
801,31.1357,42.1864,-33.6366
802,-67.3046,-50.0407,19.2471
804,-70.5172,-47.7927,26.8559
806,19.9977,74.0691,-37.2791
807,42.6117,-67.6733,48.854
812,-71.2845,-42.1892,26.5136
813,38.5964,-71.7611,44.0477
814,-74.627,-67.2144,44.2592
815,-68.0837,42.5624,9.59493
816,14.154,86.3147,-28.8613
817,-71.096,-79.1557,-22.0761
818,40.5291,57.8607,4.357
819,73.2216,29.2845,22.9378
820,73.579,44.9176,23.4778
821,23.8366,50.6963,-50.6322
823,1.94985,74.513,-35.9903
824,6.00898,-61.3614,53.8591
825,33.6297,-16.4631,157.777
827,19.5041,77.2161,-38.285
829,9.73142,86.4312,-38.3365
832,31.1357,42.1864,-33.6366
833,18.6196,72.9816,-36.4113
834,23.908,63.001,-35.1161
835,12.6346,73.3726,-34.1818
836,23.7795,62.6234,-34.4854
838,18.2919,66.6327,-37.7313
839,21.2769,74.7538,-37.233
840,22.3574,65.8451,-30.7469
841,4.64995,-75.5352,44.7472
842,10.6125,69.9012,-35.1559
844,10.6125,69.9012,-35.1559
845,23.908,63.001,-35.1161
847,23.1298,79.1195,-38.5713
849,38.0694,65.8293,-53.5618
850,31.2226,42.1723,-33.5635
851,45.852,43.0531,-33.681
852,38.0457,44.4047,-33.075
853,34.8128,40.7791,-27.9629
854,20.4658,65.5793,-37.4795
856,14.0998,78.1911,-32.6759
860,27.9547,52.135,-34.697
861,36.596,21.9264,-48.293
862,-11.6752,-88.114,30.2716
864,-1.31503,81.1506,-34.206
865,36.4123,59.1807,-49.6624
866,30.3383,47.3665,-36.7478
867,30.0106,68.5692,-35.5773
868,19.9977,74.0691,-37.2791
869,23.908,63.001,-35.1161
870,9.59331,66.8648,-38.6918
872,10.2856,-67.8887,50.1518
878,24.7134,60.5409,-34.2075
879,42.6117,-67.6733,48.854
883,22.8417,60.0661,-33.7909
884,22.3749,60.9644,-33.8203
885,22.164,61.9898,-34.0478
886,24.9911,61.5575,-35.5601
887,34.7631,42.74,-35.0671
888,22.145,63.542,-34.114
889,27.9547,52.135,-34.697
890,26.2908,53.0319,-33.4372
895,17.5861,28.5652,-84.6085
896,31.1357,42.1864,-33.6366
898,29.7221,45.0549,-33.2223
899,31.4596,43.9588,-34.3134
901,57.6299,-70.8997,59.1941
902,-52.1987,-27.95,86.4654
903,-50.6073,-8.1581,84.9345
904,62.2482,4.75393,-121.121
907,3.43817,-76.1907,-18.5634
908,-54.8886,-30.7692,86.9872
909,-35.8981,-3.43958,93.1437
910,37.9128,-50.1412,34.5853
911,-51.4215,-19.4481,85.8263
