1,Indeterminate,Indeterminate,Indeterminate
2,16.0154,83.3011,7.43868
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,-41.46,165.74,2.18
9,-21.5839,-52.6039,8.87305
10,22.7295,-81.6361,3.58705
11,61.74,47.72,1.55
12,15.7577,-128.023,5.22594
28,24.06,-175.66,2.89
101,-61.7286,-84.0799,-26.8805
102,40.5221,89.3592,21.9471
103,-61.7286,-84.0799,-26.8805
104,-61.7286,-84.0799,-26.8805
105,75.4923,87.835,32.237
107,-50.9306,-79.2059,-23.3363
108,-61.7286,-84.0799,-26.8805
109,-61.7286,-84.0799,-26.8805
110,-61.7286,-84.0799,-26.8805
111,-61.7286,-84.0799,-26.8805
112,-61.7286,-84.0799,-26.8805
113,-61.7286,-84.0799,-26.8805
114,-59.3361,-87.1523,-25.6049
116,-61.7286,-84.0799,-26.8805
117,-59.3361,-87.1523,-25.6049
118,-61.7286,-84.0799,-26.8805
120,-59.9149,-85.308,-26.2687
121,-53.8167,-86.6762,-25.37
122,-57.6034,-86.9993,-26.1478
123,-56.8904,-85.3901,-25.3055
124,-57.5157,-84.3725,-25.1659
130,40.5221,89.3592,21.9471
131,73.6024,28.7197,30.4898
132,73.6024,28.7197,30.4898
133,-59.9149,-85.308,-26.2687
134,-59.9149,-85.308,-26.2687
135,-59.9149,-85.308,-26.2687
140,-61.7286,-84.0799,-26.8805
141,-53.8167,-86.6762,-25.37
154,-61.7286,-84.0799,-26.8805
155,-61.7286,-84.0799,-26.8805
160,-61.7286,-84.0799,-26.8805
173,-61.7286,-84.0799,-26.8805
176,-61.7286,-84.0799,-26.8805
178,-61.7286,-84.0799,-26.8805
182,-61.7286,-84.0799,-26.8805
183,-61.7286,-84.0799,-26.8805
184,-61.7286,-84.0799,-26.8805
185,-61.7286,-84.0799,-26.8805
199,-61.7286,-84.0799,-26.8805
201,76.3385,43.1355,21.6542
202,76.3385,43.1355,21.6542
204,-61.7286,-84.0799,-26.8805
205,-61.7286,-84.0799,-26.8805
208,63.2344,-74.7308,35.3084
209,-61.7286,-84.0799,-26.8805
210,-61.7286,-84.0799,-26.8805
211,-61.7286,-84.0799,-26.8805
212,-61.7286,-84.0799,-26.8805
213,-61.7286,-84.0799,-26.8805
215,-61.7286,-84.0799,-26.8805
216,-3.8808,-86.0571,-62.115
222,6.24313,-81.8238,-62.1509
224,8.54645,-82.2884,-52.6075
225,62.8582,-22.5278,22.8413
226,62.8582,-22.5278,22.8413
227,62.8582,-22.5278,22.8413
228,62.8582,-22.5278,22.8413
231,-22.3529,82.2725,72.9093
233,-61.7286,-84.0799,-26.8805
234,9.75649,-81.6029,-53.2002
235,8.54645,-82.2884,-52.6075
237,3.1916,-87.8821,-46.5832
252,7.06842,-81.0774,-60.6379
253,-1.79282,86.6339,32.9986
254,2.35125,81.4883,30.5381
255,0.0969462,-89.2044,-46.4826
280,76.3385,43.1355,21.6542
283,76.3385,43.1355,21.6542
288,76.3385,43.1355,21.6542
290,76.3385,43.1355,21.6542
291,76.3385,43.1355,21.6542
293,76.3385,43.1355,21.6542
294,73.081,36.8752,21.203
301,21.1064,67.8272,11.5592
302,21.1064,67.8272,11.5592
304,28.2525,-44.8508,-17.7367
305,21.1064,67.8272,11.5592
306,37.5588,-11.1499,-43.4468
307,28.4161,-25.4573,-31.7083
308,25.8059,-28.0116,-27.9811
309,21.1064,67.8272,11.5592
311,21.1064,67.8272,11.5592
315,21.1064,67.8272,11.5592
317,21.6943,62.7818,11.8458
318,21.1064,67.8272,11.5592
319,21.1064,67.8272,11.5592
322,38.3357,-11.8207,-38.9444
323,30.0452,-33.4574,-27.4485
328,28.0266,-33.6656,-23.1568
329,28.2525,-44.8508,-17.7367
330,21.1064,67.8272,11.5592
331,21.1064,67.8272,11.5592
334,25.0592,-48.427,-19.1208
337,29.4652,-52.2204,-19.0537
338,21.1064,67.8272,11.5592
339,-15.485,-77.4321,-40.2469
340,29.5017,-47.1277,-19.6633
344,21.1064,67.8272,11.5592
346,31.315,-27.4881,-29.1251
347,8.69705,57.2774,30.1005
349,21.1064,67.8272,11.5592
352,29.5903,-36.3159,-25.8325
354,28.4161,-25.4573,-31.7083
355,25.8059,-28.0116,-27.9811
356,21.1064,67.8272,11.5592
357,21.1064,67.8272,11.5592
358,38.9841,46.6985,18.2744
359,37.5588,-11.1499,-43.4468
372,21.1064,67.8272,11.5592
373,21.1064,67.8272,11.5592
374,21.1064,67.8272,11.5592
375,21.1064,67.8272,11.5592
380,21.1064,67.8272,11.5592
390,21.1064,67.8272,11.5592
401,21.1064,67.8272,11.5592
402,21.1064,67.8272,11.5592
404,21.1064,67.8272,11.5592
406,-61.8209,6.40986,57.7529
407,-53.3696,-83.572,-22.8979
409,-53.3696,-83.572,-22.8979
410,21.1064,67.8272,11.5592
415,21.1064,67.8272,11.5592
416,-9.95283,46.0989,11.6933
430,21.1064,67.8272,11.5592
446,-3.85155,-74.6008,-72.7829
450,21.1064,67.8272,11.5592
451,21.1064,67.8272,11.5592
453,21.1064,67.8272,11.5592
454,21.1064,67.8272,11.5592
455,21.1064,67.8272,11.5592
456,21.1064,67.8272,11.5592
457,21.1064,67.8272,11.5592
458,21.1064,67.8272,11.5592
459,21.1064,67.8272,11.5592
460,21.1064,67.8272,11.5592
461,21.1064,67.8272,11.5592
462,21.1064,67.8272,11.5592
463,21.1064,67.8272,11.5592
464,21.1064,67.8272,11.5592
465,21.1064,67.8272,11.5592
466,21.1064,67.8272,11.5592
467,21.1064,67.8272,11.5592
468,21.1064,67.8272,11.5592
469,31.615,-86.0651,97.3889
470,71.6248,8.49019,-116.076
