1,Indeterminate,Indeterminate,Indeterminate
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,-41.46,165.74,2.18
9,-18.11,-47.63,9.38
10,26.42,-78.03,4.11
11,61.74,47.72,1.55
12,19.96,-130.6,7.17
28,24.06,-175.66,2.89
101,56.8586,47.5301,56.6106
102,46.8665,55.0772,52.1749
103,21.2785,66.7946,48.0322
104,57.413,49.4051,55.5796
105,61.0776,35.1472,61.4076
107,53.5272,53.9977,52.742
108,56.8586,47.5301,56.6106
109,56.8586,47.5301,56.6106
110,56.8586,47.5301,56.6106
111,53.9644,53.2216,63.6872
112,45.743,59.2915,57.2593
113,45.743,59.2915,57.2593
114,55.1882,48.0205,55.7533
116,56.8586,47.5301,56.6106
117,55.1882,48.0205,55.7533
118,21.2785,66.7946,48.0322
120,55.9205,48.3305,56.1821
121,53.5637,51.5242,55.4828
122,54.9069,49.4447,56.2445
123,54.7053,49.913,55.3166
124,55.0217,49.6797,55.0915
131,51.0939,27.7492,53.3941
132,51.0939,27.7492,53.3941
133,55.9205,48.3305,56.1821
134,55.9205,48.3305,56.1821
135,55.9205,48.3305,56.1821
140,65.11,13.5926,38.2355
141,53.5637,51.5242,55.4828
154,56.8586,47.5301,56.6106
155,21.2785,66.7946,48.0322
160,56.8586,47.5301,56.6106
173,56.8586,47.5301,56.6106
176,56.8586,47.5301,56.6106
178,56.8586,47.5301,56.6106
182,56.8586,47.5301,56.6106
183,56.8586,47.5301,56.6106
184,56.8586,47.5301,56.6106
185,56.8586,47.5301,56.6106
199,56.8586,47.5301,56.6106
201,63.4625,51.4535,26.4385
202,63.4625,51.4535,26.4385
204,-25.7477,-82.646,-73.476
205,-16.9941,-76.3713,-83.3461
209,-16.9941,-76.3713,-83.3461
210,-25.7477,-82.646,-73.476
211,-25.7477,-82.646,-73.476
212,-25.7477,-82.646,-73.476
213,-25.7477,-82.646,-73.476
215,55.4331,53.0102,52.0615
222,2.80988,-71.9512,-127.984
225,58.9187,8.03686,26.1845
226,58.9187,8.03686,26.1845
227,58.9187,8.03686,26.1845
228,58.9187,8.03686,26.1845
233,55.6373,53.665,51.398
280,46.9806,4.89147,20.8564
283,46.9806,4.89147,20.8564
288,46.9806,4.89147,20.8564
290,55.9643,19.5266,22.0986
291,46.9806,4.89147,20.8564
293,63.1277,50.5026,26.0863
301,34.3792,47.8338,41.7031
302,34.3792,47.8338,41.7031
304,9.65959,-57.0402,-30.7082
305,34.3792,47.8338,41.7031
306,23.8641,-25.1215,-49.8328
307,22.2116,-31.1519,-45.9784
308,21.502,-31.2665,-45.1646
309,34.3792,47.8338,41.7031
311,34.3792,47.8338,41.7031
315,34.3792,47.8338,41.7031
317,34.9484,46.0609,43.4615
318,34.3792,47.8338,41.7031
319,34.3792,47.8338,41.7031
322,23.6576,-27.4185,-45.6147
323,23.3842,-36.9443,-41.9965
328,22.8196,-34.7835,-40.4095
329,9.65959,-57.0402,-30.7082
330,34.1984,47.7224,42.2749
331,34.3792,47.8338,41.7031
334,24.2886,-54.5009,-31.9166
337,27.0828,-56.5438,-31.9275
338,33.5214,51.6639,36.7129
339,-9.47846,-75.417,-104.928
340,26.943,-53.4306,-32.4023
344,34.3792,47.8338,41.7031
346,24.0644,-32.9334,-43.2551
347,-4.17674,78.1481,36.1962
349,34.3792,47.8338,41.7031
352,8.5054,-58.0947,-31.7037
354,10.588,-42.3967,-36.9845
355,21.502,-31.2665,-45.1646
356,34.3792,47.8338,41.7031
357,20.6652,55.3085,26.9365
358,31.46,60.49,34.5257
359,23.8641,-25.1215,-49.8328
