1,Indeterminate,Indeterminate,Indeterminate
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,-41.46,165.74,2.18
9,-18.11,-47.63,9.38
10,26.42,-78.03,4.11
11,61.74,47.72,1.55
12,19.96,-130.6,7.17
28,24.06,-175.66,2.89
101,65.9655,59.1553,51.1863
102,55.062,65.3451,45.1994
103,24.1872,74.3174,38.3533
104,66.5049,62.3208,50.2683
105,70.7785,42.9978,56.8196
107,62.3328,66.8915,46.8349
108,65.9655,59.1553,51.1863
109,65.9655,59.1553,51.1863
110,65.9655,59.1553,51.1863
111,60.8422,64.5903,57.6769
112,52.2883,69.6612,50.0446
113,52.2883,69.6612,50.0446
114,64.317,58.9952,50.052
116,65.9655,59.1553,51.1863
117,64.317,58.9952,50.052
118,24.1872,74.3174,38.3533
120,64.9589,59.7978,50.5997
121,62.1528,63.0729,49.5131
122,63.7193,60.8028,50.4854
123,63.6357,61.4567,49.5392
124,64.0531,61.3288,49.3721
130,55.062,65.3451,45.1994
131,64.7142,25.8567,56.1835
132,64.7142,25.8567,56.1835
133,64.9589,59.7978,50.5997
134,64.9589,59.7978,50.5997
135,64.9589,59.7978,50.5997
140,68.0494,65.427,47.64
141,62.1528,63.0729,49.5131
154,65.9655,59.1553,51.1863
155,24.1872,74.3174,38.3533
160,65.9655,59.1553,51.1863
173,65.9655,59.1553,51.1863
176,65.9655,59.1553,51.1863
178,65.9655,59.1553,51.1863
182,65.9655,59.1553,51.1863
183,65.9655,59.1553,51.1863
184,65.9655,59.1553,51.1863
185,65.9655,59.1553,51.1863
199,65.9655,59.1553,51.1863
201,82.8177,73.3227,25.4383
202,82.8177,73.3227,25.4383
204,-25.9385,-75.4782,-65.4123
205,-15.4723,-70.5847,-78.308
209,-15.4723,-70.5847,-78.308
210,-25.9385,-75.4782,-65.4123
211,-25.9385,-75.4782,-65.4123
212,-25.9385,-75.4782,-65.4123
213,-25.9385,-75.4782,-65.4123
215,64.6706,66.7804,46.486
222,6.45134,-70.1744,-119.748
225,71.5039,-30.8814,26.0775
226,71.5039,-30.8814,26.0775
227,71.5039,-30.8814,26.0775
228,71.5039,-30.8814,26.0775
233,64.9372,67.9869,45.8773
280,60.8495,-32.2688,20.2235
283,60.8495,-32.2688,20.2235
288,60.8495,-32.2688,20.2235
290,73.5804,-21.8895,21.2934
291,60.8495,-32.2688,20.2235
293,82.9334,69.5855,25.0624
301,45.1068,52.2485,33.5412
302,45.1068,52.2485,33.5412
304,14.8576,-36.2396,-29.2477
305,45.1068,52.2485,33.5412
306,26.8714,-12.3033,-53.1433
307,24.2892,-18.8354,-46.5988
308,22.3166,-20.4297,-42.9158
309,45.1068,52.2485,33.5412
311,45.1068,52.2485,33.5412
315,45.1068,52.2485,33.5412
317,44.8543,50.1571,34.8536
318,45.1068,52.2485,33.5412
319,45.1068,52.2485,33.5412
322,26.6538,-13.3252,-48.6645
323,25.5918,-23.2866,-41.7527
328,23.48,-22.7086,-37.7747
329,14.8576,-36.2396,-29.2477
330,44.7135,52.0421,34.0784
331,45.1068,52.2485,33.5412
334,24.2944,-36.2254,-29.2331
337,27.5399,-37.9536,-28.8753
338,45.1068,52.2485,33.5412
339,-6.54073,-71.7804,-96.9111
340,27.1322,-35.0004,-29.7625
344,45.1068,52.2485,33.5412
346,26.0661,-19.602,-43.6325
347,-4.39748,85.3137,28.0409
349,45.1068,52.2485,33.5412
352,13.7356,-38.0767,-29.9782
354,15.0877,-25.6214,-37.8914
355,22.3166,-20.4297,-42.9158
356,45.1068,52.2485,33.5412
357,36.7953,60.5173,20.8985
