1,Indeterminate,Indeterminate,Indeterminate
2,18.5783,-15.5519,-1.94321
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,-47.901,171.046,1.16032
9,-49.3447,123.735,1.15416
10,0.0495062,78.8334,1.13299
11,72.5326,11.3449,0.647372
12,-12.6727,-111.85,4.61785
28,19.358,-154.15,0.665416
101,-39.2473,-39.2849,-2.5128
102,-39.2473,-39.2849,-2.5128
103,-39.2473,-39.2849,-2.5128
104,-39.2473,-39.2849,-2.5128
105,-59.689,71.274,-9.50154
107,-39.2473,-39.2849,-2.5128
108,-39.2473,-39.2849,-2.5128
109,-39.2473,-39.2849,-2.5128
110,-39.2473,-39.2849,-2.5128
111,-39.2473,-39.2849,-2.5128
112,-39.2473,-39.2849,-2.5128
113,-39.2473,-39.2849,-2.5128
114,-39.2473,-39.2849,-2.5128
116,-39.2473,-39.2849,-2.5128
117,-39.2473,-39.2849,-2.5128
118,-39.2473,-39.2849,-2.5128
120,-39.2473,-39.2849,-2.5128
121,-39.2473,-39.2849,-2.5128
122,-39.2473,-39.2849,-2.5128
123,-39.2473,-39.2849,-2.5128
124,-39.2473,-39.2849,-2.5128
127,40.2639,-29.0407,-1.22143
128,40.2639,-29.0407,-1.22143
129,40.2639,-29.0407,-1.22143
130,-39.2473,-39.2849,-2.5128
131,38.9357,-60.3437,12.7359
132,38.9357,-60.3437,12.7359
133,-39.2473,-39.2849,-2.5128
134,-39.2473,-39.2849,-2.5128
135,-39.2473,-39.2849,-2.5128
140,-39.2473,-39.2849,-2.5128
141,-39.2473,-39.2849,-2.5128
154,-39.2473,-39.2849,-2.5128
155,-39.2473,-39.2849,-2.5128
160,-39.2473,-39.2849,-2.5128
173,-39.2473,-39.2849,-2.5128
176,-39.2473,-39.2849,-2.5128
178,-39.2473,-39.2849,-2.5128
182,-39.2473,-39.2849,-2.5128
183,-39.2473,-39.2849,-2.5128
184,-39.2473,-39.2849,-2.5128
185,-39.2473,-39.2849,-2.5128
199,-39.2473,-39.2849,-2.5128
201,-74.7094,9.52928,-2.10358
202,-74.7094,9.52928,-2.10358
204,-39.2473,-39.2849,-2.5128
205,-39.2473,-39.2849,-2.5128
208,-39.2473,-39.2849,-2.5128
209,-39.2473,-39.2849,-2.5128
210,-39.2473,-39.2849,-2.5128
211,-39.2473,-39.2849,-2.5128
212,-39.2473,-39.2849,-2.5128
213,-39.2473,-39.2849,-2.5128
215,-39.2473,-39.2849,-2.5128
216,-39.2473,-39.2849,-2.5128
222,-11.0203,-44.6872,-1.86067
224,-9.71872,-36.0917,-1.28084
225,11.0148,-64.4384,9.50506
226,11.0148,-64.4384,9.50506
227,11.0148,-64.4384,9.50506
228,11.0148,-64.4384,9.50506
229,7.82897,-75.4081,27.4688
230,8.21184,-80.5056,-41.4808
231,-9.71872,-36.0917,-1.28084
233,-39.2473,-39.2849,-2.5128
234,-9.71872,-36.0917,-1.28084
235,-9.71872,-36.0917,-1.28084
236,10.68,-55.9433,-5.8048
237,23.8144,-36.2509,-1.51359
