1,Indeterminate,Indeterminate,Indeterminate
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,-41.46,165.74,2.18
9,-18.11,-47.63,9.38
10,26.42,-78.03,4.11
11,61.74,47.72,1.55
12,19.96,-130.6,7.17
28,24.06,-175.66,2.89
101,60.125,66.7866,45.0923
102,46.7804,70.7244,40.1583
103,12.0681,77.3558,36.9547
104,60.1733,67.3209,44.9521
105,67.1212,53.093,50.0142
107,54.9818,73.5387,41.2952
108,60.125,66.7866,45.0923
109,60.125,66.7866,45.0923
110,60.125,66.7866,45.0923
111,54.7476,68.9566,52.0577
112,44.5454,73.3501,45.1914
113,44.5454,73.3501,45.1914
114,58.1922,66.2903,44.048
116,60.125,66.7866,45.0923
117,58.1922,66.2903,44.048
118,12.0681,77.3558,36.9547
120,58.9005,67.1236,44.5867
121,55.4227,69.4241,43.8045
122,57.4387,67.6312,44.5817
123,57.1893,68.4119,43.6734
124,57.6427,68.4758,43.478
130,46.7804,70.7244,40.1583
131,61.8396,33.3864,48.9595
132,61.8396,33.3864,48.9595
133,58.9005,67.1236,44.5867
134,58.9005,67.1236,44.5867
135,58.9005,67.1236,44.5867
140,60.5804,69.6389,44.1036
141,55.4227,69.4241,43.8045
154,60.125,66.7866,45.0923
155,12.0681,77.3558,36.9547
160,60.125,66.7866,45.0923
173,60.125,66.7866,45.0923
176,60.125,66.7866,45.0923
178,60.125,66.7866,45.0923
182,60.125,66.7866,45.0923
183,60.125,66.7866,45.0923
184,60.125,66.7866,45.0923
185,60.125,66.7866,45.0923
199,60.125,66.7866,45.0923
201,71.5425,47.9993,25.2693
202,71.5425,47.9993,25.2693
204,-33.4183,-83.8659,-54.7584
205,-34.4504,-84.8623,-53.4997
209,-34.4504,-84.8623,-53.4997
210,-33.4183,-83.8659,-54.7584
211,-33.4183,-83.8659,-54.7584
212,-33.4183,-83.8659,-54.7584
213,-33.4183,-83.8659,-54.7584
215,59.9451,67.7023,44.6293
222,3.35385,-74.8894,-108.224
225,63.4349,-6.97034,25.743
226,63.4349,-6.97034,25.743
227,63.4349,-6.97034,25.743
228,63.4349,-6.97034,25.743
233,60.0267,67.212,44.8405
280,51.5236,-9.91115,20.2953
283,51.5236,-9.91115,20.2953
288,51.5236,-9.91115,20.2953
290,62.3927,4.53305,21.2549
291,51.5236,-9.91115,20.2953
293,71.2778,46.5016,24.9106
294,74.3684,4.9794,30.5924
301,35.2957,58.8275,29.4938
302,35.2957,58.8275,29.4938
304,22.6441,-37.7381,-34.9862
305,35.2957,58.8275,29.4938
306,29.4909,-15.5037,-59.3716
307,24.2034,-26.2427,-45.4017
308,22.2953,-28.3527,-41.7986
309,35.2957,58.8275,29.4938
311,35.2957,58.8275,29.4938
315,35.2957,58.8275,29.4938
317,34.1832,56.9928,29.9663
318,35.2957,58.8275,29.4938
319,35.2957,58.8275,29.4938
322,29.6282,-16.5656,-54.9094
323,25.5163,-31.6945,-40.9888
328,23.6651,-31.817,-36.9287
329,22.6441,-37.7381,-34.9862
330,35.1868,58.6582,29.712
331,35.2957,58.8275,29.4938
334,22.5506,-40.3854,-32.6824
337,25.449,-41.9566,-32.3565
338,35.2957,58.8275,29.4938
339,-10.2173,-76.7815,-85.6055
340,25.1135,-39.2336,-33.1497
344,35.2957,58.8275,29.4938
346,26.1349,-27.65,-42.5843
347,-4.69186,79.0734,32.3752
349,35.2957,58.8275,29.4938
352,21.6074,-39.4214,-35.6192
354,20.9145,-28.3353,-43.5799
355,22.2953,-28.3527,-41.7986
356,35.2957,58.8275,29.4938
357,29.0937,67.5925,22.7472
