85.3789586	-46.48838059		17.2182509282
85.9538555	-46.64886505		17.2816629597
86.53087519	-46.8073524		17.2937204217
87.11000498	-46.96383742		17.2708785383
87.69123174	-47.11831502		17.230849281
88.27454187	-47.2707802		17.2013048116
88.85992134	-47.4212281		17.1931642548
89.44735563	-47.56965394		17.216620779
90.03682978	-47.71605305		17.2888271386
90.62832836	-47.86042087		17.4042144194
91.22183548	-48.00275294		17.5409948831
91.81733477	-48.14304491		17.7039967839
92.4148094	-48.28129251		17.8923018793
93.01424207	-48.4174916		18.0840730709
93.61561502	-48.55163811		18.2842871228
94.21891002	-48.68372808		18.4863296754
94.82410834	-48.81375764		18.6868650043
95.4311908	-48.94172302		18.8892601794
96.04013777	-49.06762054		19.0930755658
96.6509291	-49.19144661		19.2859630246
97.26354421	-49.31319772		19.4585158187
97.87796204	-49.43287048		19.6067972241
98.49416104	-49.55046155		19.733209491
99.11211923	-49.6659677		19.8247380164
99.73181413	-49.77938577		19.8831512334
100.3532228	-49.89071269		19.9233139932
100.9763219	-49.99994549		19.9550858846
101.6010875	-50.10708125		19.9907284539
102.2274953	-50.21211714		20.0339485811
102.8555206	-50.31505043		20.0890749781
103.4851382	-50.41587843		20.1569002145
104.1163223	-50.51459856		20.2320029857
104.7490469	-50.61120829		20.304545636
105.3832854	-50.70570519		20.3752291197
106.0190109	-50.79808687		20.4313554892
106.6561959	-50.88835104		20.4214114537
107.2948126	-50.97649546		20.3393462456
107.9348327	-51.06251798		20.2075951131
108.5762276	-51.14641649		20.0545289271
109.2189681	-51.22818898		19.8998385811
109.8630248	-51.30783348		19.7882797463
110.5083679	-51.3853481		19.7731042175
111.1549669	-51.460731		19.8256372584
111.8027912	-51.53398042		19.9137961009
112.4518099	-51.60509464		20.0325382183
113.1019915	-51.67407203		20.1809439388
113.7533042	-51.74091099		20.345010032
114.4057159	-51.80561		20.5255606252
115.0591942	-51.86816759		20.7132580595
115.7137062	-51.92858236		20.8923255948
116.3692187	-51.98685294		21.054327863
117.0256984	-52.04297803		21.1993021286
117.6831115	-52.09695639		21.3380370841
118.341424	-52.14878684		21.4772909259
119.0006013	-52.19846824		21.5996359395
119.660609	-52.2459995		21.6903779631
120.3214122	-52.29137958		21.7479837527
120.9829755	-52.33460752		21.7927546138
121.6452637	-52.37568239		21.8390122731
122.3082411	-52.41460329		21.8877386404
122.9718718	-52.45136941		21.9334454279
123.6361198	-52.48597996		21.9717259944
124.3009486	-52.51843421		22.0062014439
124.9663218	-52.54873148		22.0427399121
125.6322027	-52.57687113		22.0711655009
126.2985545	-52.60285258		22.0887195128
126.9653402	-52.62667527		22.0962587055
127.6325226	-52.64833872		22.0976530516
128.3000645	-52.66784247		22.0903092466
128.9679283	-52.68518613		22.0761929072
129.6360767	-52.70036932		22.0590009548
130.3044719	-52.71339175		22.0434707754
130.9730764	-52.72425313		22.0267750273
131.6418523	-52.73295325		22.005725011
132.3107618	-52.73949193		21.98467571
132.979767	-52.74386903		21.9677980238
133.6488301	-52.74608447		21.9513197581
134.3179131	-52.74613819		21.9650822141
134.986978	-52.7440302		22.0036034774
135.655987	-52.73976055		22.0129546569
136.3249022	-52.73332931		21.9656340571
136.9936856	-52.72473662		21.9200108227
137.6622995	-52.71398265		21.8849615148
138.330706	-52.70106764		21.8436739894
138.9988675	-52.68599184		21.789824607
139.6667464	-52.66875556		21.7893805555
140.3343052	-52.64935917		21.8429493358
141.0015063	-52.62780306		21.9116968479
141.6683126	-52.60408768		21.9551404756
142.3346869	-52.57821353		21.9728584039
143.0005921	-52.55018114		21.9793267576
143.6659914	-52.5199911		21.9843795481
144.3308481	-52.48764404		21.9918782214
144.9951258	-52.45314065		22.0044362304
145.658788	-52.41648166		22.0195961319
146.3217987	-52.37766784		22.0370717137
146.984122	-52.33670002		22.0599081013
147.6457223	-52.29357908		22.087107795
148.306564	-52.24830594		22.1062177824
148.9666121	-52.20088158		22.1180444746
149.6258315	-52.15130704		22.1233892247
150.2841878	-52.09958338		22.1156659022
150.9416464	-52.04571175		22.0874545532
151.5981733	-51.98969333		22.0299276246
152.2537347	-51.93152937		21.9269462284
152.9082972	-51.87122115		21.7642799356
153.5618276	-51.80877004		21.5370781535
154.2142931	-51.74417743		21.2120868117
154.8656612	-51.6774448		20.7660337234
155.5158998	-51.60857366		20.2103125189
156.164977	-51.53756561		19.5154509799
156.8128615	-51.46442229		18.6290440094
157.4595221	-51.38914539		17.6503143276
158.1049283	-51.31173669		16.4166124016
158.7490497	-51.23219801		15.6374077336
159.3918563	-51.15053125		16.5361388204
160.0333188	-51.06673836		14.4460588947
160.6734079	-50.98082137		17.2703811117
161.312095	-50.89278237		17.9114012879
161.9493519	-50.80262351		19.5999502464
162.5851505	-50.71034703		24.3598555399
163.2194636	-50.61595521		22.8706775637
163.8522641	-50.51945044		23.4750362982
164.4835254	-50.42083515		23.1086162013
165.1132214	-50.32011186		19.174276502
165.7413265	-50.21728316		18.0139087659
166.3678153	-50.11235171		15.1765968492
166.9926631	-50.00532026		18.6633459025
167.6158456	-49.89619163		21.6076632277
168.2373388	-49.78496872		19.9974032312
168.8571195	-49.67165452		23.3605230857
169.4751645	-49.55625209		20.5840935985
170.0914515	-49.43876458		24.4825677215
170.7059583	-49.31919521		25.8588245905
171.3186636	-49.19754732		26.2785702076
171.929546	-49.07382431		27.2331835483
172.5385851	-48.94802967		27.602253798
173.1457608	-48.82016699		27.782935009
173.7510532	-48.69023994		27.3963848235
174.3544432	-48.55825229		26.7787697191
174.9559122	-48.42420791		26.0096784838
