1,Indeterminate,Indeterminate,Indeterminate
2,26.8537,-28.3965,-1.95567
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,48.87,-7.99,-1.017
9,38.78,-64.07,-1.161
10,0.09,78.8,1.071
11,72.79,8.71,0.585
12,13.25,68.61,-3.933
28,18.6206,-151.684,0.584137
101,-39.0181,-38.9373,-2.05739
102,-39.0181,-38.9373,-2.05739
103,-39.0181,-38.9373,-2.05739
104,-39.0181,-38.9373,-2.05739
105,-59.7349,74.8005,-7.90609
107,-39.0181,-38.9373,-2.05739
108,-39.0181,-38.9373,-2.05739
109,-39.0181,-38.9373,-2.05739
110,-39.0181,-38.9373,-2.05739
111,-39.0181,-38.9373,-2.05739
112,-39.0181,-38.9373,-2.05739
113,-39.0181,-38.9373,-2.05739
114,-39.0181,-38.9373,-2.05739
116,-39.0181,-38.9373,-2.05739
117,-39.0181,-38.9373,-2.05739
118,-39.0181,-38.9373,-2.05739
120,-39.0181,-38.9373,-2.05739
121,-39.0181,-38.9373,-2.05739
122,-39.0181,-38.9373,-2.05739
123,-39.0181,-38.9373,-2.05739
124,-39.0181,-38.9373,-2.05739
127,40.1052,-28.6911,-1.00603
128,40.1052,-28.6911,-1.00603
129,40.1052,-28.6911,-1.00603
130,-39.0181,-38.9373,-2.05739
131,36.9398,-59.9696,12.8139
132,36.9398,-59.9696,12.8139
133,-39.0181,-38.9373,-2.05739
134,-39.0181,-38.9373,-2.05739
135,-39.0181,-38.9373,-2.05739
140,-39.0181,-38.9373,-2.05739
141,-39.0181,-38.9373,-2.05739
154,-39.0181,-38.9373,-2.05739
155,-39.0181,-38.9373,-2.05739
160,-39.0181,-38.9373,-2.05739
173,-39.0181,-38.9373,-2.05739
176,-39.0181,-38.9373,-2.05739
178,-39.0181,-38.9373,-2.05739
182,-39.0181,-38.9373,-2.05739
183,-39.0181,-38.9373,-2.05739
184,-39.0181,-38.9373,-2.05739
185,-39.0181,-38.9373,-2.05739
199,-39.0181,-38.9373,-2.05739
201,-74.1719,9.24739,-1.71618
202,-74.1719,9.24739,-1.71618
204,-39.0181,-38.9373,-2.05739
205,-39.0181,-38.9373,-2.05739
