1,Indeterminate,Indeterminate,Indeterminate
2,8.35977,59.9432,38.5942
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,-41.46,165.74,2.18
9,-18.11,-47.63,9.38
10,26.42,-78.03,4.11
11,61.74,47.72,1.55
12,19.96,-130.6,7.17
28,24.06,-175.66,2.89
101,59.4088,77.9285,42.2592
102,44.9835,79.4102,37.2908
103,47.2029,80.26,38.2844
104,59.4088,77.9285,42.2592
105,67.8541,65.9789,47.0234
107,53.3707,83.9985,38.648
108,59.4088,77.9285,42.2592
109,59.4088,77.9285,42.2592
110,59.4088,77.9285,42.2592
111,55.3296,77.2384,46.7395
112,62.7503,79.2488,50.4188
113,62.7503,79.2488,50.4188
114,57.4599,76.9678,41.1531
116,59.4088,77.9285,42.2592
117,57.4599,76.9678,41.1531
118,47.2029,80.26,38.2844
120,58.1053,77.9354,41.7374
121,54.2376,79.3174,40.9745
122,56.5228,77.9393,41.7172
123,56.1972,78.8818,40.8384
124,56.6693,79.1529,40.6563
130,44.9835,79.4102,37.2908
131,64.1807,41.6413,45.3228
132,64.1807,41.6413,45.3228
133,58.1053,77.9354,41.7374
134,58.1053,77.9354,41.7374
135,58.1053,77.9354,41.7374
140,59.4088,77.9285,42.2592
141,54.2376,79.3174,40.9745
154,59.4088,77.9285,42.2592
155,47.2029,80.26,38.2844
160,59.4088,77.9285,42.2592
173,59.4088,77.9285,42.2592
176,59.4088,77.9285,42.2592
178,59.4088,77.9285,42.2592
182,59.4088,77.9285,42.2592
183,59.4088,77.9285,42.2592
184,59.4088,77.9285,42.2592
185,59.4088,77.9285,42.2592
199,59.4088,77.9285,42.2592
201,71.9889,62.0413,26.9991
202,71.9889,62.0413,26.9991
204,51.8749,87.1552,43.6345
205,59.4088,77.9285,42.2592
208,70.169,-27.1886,44.8427
209,59.4088,77.9285,42.2592
210,51.8749,87.1552,43.6345
211,51.8749,87.1552,43.6345
212,51.8749,87.1552,43.6345
213,51.8749,87.1552,43.6345
215,59.4088,77.9285,42.2592
216,-8.45427,-82.974,-88.1846
222,-1.83264,-78.2438,-86.8904
224,-1.29145,-78.6098,-77.1232
225,67.8131,0.617699,26.7459
226,67.8131,0.617699,26.7459
227,67.8131,0.617699,26.7459
228,67.8131,0.617699,26.7459
233,59.4088,77.9285,42.2592
234,-0.484714,-77.9289,-77.4947
235,-1.29145,-78.6098,-77.1232
252,-1.5213,-77.6318,-85.249
253,-7.14621,-86.9164,-58.6044
254,9.27701,89.803,56.3321
255,-6.66793,-84.6829,-72.2036
280,68.1835,18.9666,22.7377
283,68.1835,18.9666,22.7377
288,68.1835,18.9666,22.7377
290,70.949,34.07,24.0609
291,68.1835,18.9666,22.7377
293,71.8987,61.0721,26.7357
294,74.3933,37.4492,29.0613
301,34.5844,67.4424,26.3673
302,34.5844,67.4424,26.3673
304,22.1891,-35.1925,-35.2238
305,34.5844,67.4424,26.3673
306,29.183,-13.9699,-59.9046
307,21.1807,-25.484,-46.0102
308,19.0592,-27.5872,-42.5034
309,34.5844,67.4424,26.3673
311,34.5844,67.4424,26.3673
315,34.5844,67.4424,26.3673
317,32.6034,65.518,26.3394
318,34.5844,67.4424,26.3673
319,34.5844,67.4424,26.3673
322,29.2573,-14.9196,-55.4253
323,22.196,-30.7756,-41.5781
328,20.0059,-30.9623,-37.6031
329,22.1891,-35.1925,-35.2238
330,34.5844,67.4424,26.3673
331,34.5844,67.4424,26.3673
334,18.5358,-39.1977,-33.4316
337,21.3457,-40.6516,-32.9872
338,34.5844,67.4424,26.3673
339,-19.402,-79.7665,-65.9602
340,21.0848,-38.062,-33.7913
344,34.5844,67.4424,26.3673
346,22.8937,-26.8577,-43.1256
347,-1.93496,82.2919,33.0754
349,34.5844,67.4424,26.3673
352,22.037,-34.8154,-38.0614
354,21.1807,-25.484,-46.0102
355,19.0592,-27.5872,-42.5034
356,34.5844,67.4424,26.3673
357,31.7567,72.3924,24.2209
358,24.3055,89.7788,21.8464
359,29.183,-13.9699,-59.9046
372,34.5844,67.4424,26.3673
373,34.5844,67.4424,26.3673
374,34.5844,67.4424,26.3673
375,34.5844,67.4424,26.3673
380,34.5844,67.4424,26.3673
390,34.5844,67.4424,26.3673
401,34.5844,67.4424,26.3673
402,34.5844,67.4424,26.3673
404,34.5844,67.4424,26.3673
406,-53.7703,32.0776,52.7707
407,52.6087,80.9172,37.5136
409,52.6087,80.9172,37.5136
410,34.5844,67.4424,26.3673
415,34.5844,67.4424,26.3673
416,20.5261,58.0163,23.8705
430,34.5844,67.4424,26.3673
446,5.37217,-64.7642,-94.7106
450,34.5844,67.4424,26.3673
451,34.5844,67.4424,26.3673
453,34.5844,67.4424,26.3673
454,34.5844,67.4424,26.3673
455,34.5844,67.4424,26.3673
456,34.5844,67.4424,26.3673
457,34.5844,67.4424,26.3673
458,34.5844,67.4424,26.3673
459,34.5844,67.4424,26.3673
460,34.5844,67.4424,26.3673
461,34.5844,67.4424,26.3673
462,34.5844,67.4424,26.3673
463,34.5844,67.4424,26.3673
464,34.5844,67.4424,26.3673
465,34.5844,67.4424,26.3673
466,34.5844,67.4424,26.3673
467,34.5844,67.4424,26.3673
468,34.5844,67.4424,26.3673
469,26.96,-76.2794,145.826
470,36.4869,6.50868,-133.313
471,26.96,-76.2794,145.826
472,12.2415,28.32,-54.9055
473,26.96,-76.2794,145.826
474,10.2251,-0.0145949,-43.466
475,30.7938,49.3699,-39.3542
498,22.3713,-63.9098,-134.903
499,14.9404,-68.3586,-128.661
501,13.6965,9.98243,-86.6576
502,-2.44524,29.6201,-109.087
503,21.7338,-23.1229,-46.0083
504,34.5844,67.4424,26.3673
505,34.5844,67.4424,26.3673
506,34.5844,67.4424,26.3673
508,21.8325,-20.5642,-48.3282
509,21.8325,-20.5642,-48.3282
511,10.4997,12.2262,-89.15
514,49.7939,70.3972,-16.9391
517,14.8628,23.5062,-33.3023
518,-4.06185,-24.4485,-25.4787
520,34.5844,67.4424,26.3673
521,34.5844,67.4424,26.3673
522,24.7956,-19.2868,-46.0354
525,23.4687,-22.5591,-42.3363
526,34.5844,67.4424,26.3673
528,-6.44491,-28.3401,-13.7904
529,0.012808,-27.0026,-23.7827
530,18.3826,-49.6451,-37.8652
531,12.6907,-33.0277,-34.4462
532,28.7483,-28.329,-19.0643
533,5.37217,-64.7642,-94.7106
