1,Indeterminate,Indeterminate,Indeterminate
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,-41.46,165.74,2.18
9,-18.11,-47.63,9.38
10,26.42,-78.03,4.11
11,61.74,47.72,1.55
12,19.96,-130.6,7.17
28,24.06,-175.66,2.89
101,64.8752,61.1481,48.7605
102,53.1795,66.6719,42.989
103,20.5979,74.8529,37.0198
104,65.2264,63.5059,48.1085
105,70.2882,45.2829,54.268
107,60.8117,68.7288,44.5179
108,64.8752,61.1481,48.7605
109,64.8752,61.1481,48.7605
110,64.8752,61.1481,48.7605
111,59.5306,65.7408,55.3558
112,50.5525,70.5516,47.8139
113,50.5525,70.5516,47.8139
114,63.1379,60.8513,47.6414
116,64.8752,61.1481,48.7605
117,63.1379,60.8513,47.6414
118,20.5979,74.8529,37.0198
120,63.7998,61.7002,48.1887
121,60.7726,64.7341,47.1628
122,62.4797,62.5705,48.0959
123,62.3603,63.2707,47.1564
124,62.7969,63.1998,46.9836
130,53.1795,66.6719,42.989
131,64.2943,26.9492,53.5596
132,64.2943,26.9492,53.5596
133,63.7998,61.7002,48.1887
134,63.7998,61.7002,48.1887
135,63.7998,61.7002,48.1887
140,65.8491,66.2378,47.4847
141,60.7726,64.7341,47.1628
154,64.8752,61.1481,48.7605
155,20.5979,74.8529,37.0198
160,64.8752,61.1481,48.7605
173,64.8752,61.1481,48.7605
176,64.8752,61.1481,48.7605
178,64.8752,61.1481,48.7605
182,64.8752,61.1481,48.7605
183,64.8752,61.1481,48.7605
184,64.8752,61.1481,48.7605
185,64.8752,61.1481,48.7605
199,64.8752,61.1481,48.7605
201,79.6211,59.4395,25.1798
202,79.6211,59.4395,25.1798
204,-30.9481,-79.0893,-60.2233
205,-25.8526,-76.6363,-64.8163
209,-25.8526,-76.6363,-64.8163
210,-30.9481,-79.0893,-60.2233
211,-30.9481,-79.0893,-60.2233
212,-30.9481,-79.0893,-60.2233
213,-30.9481,-79.0893,-60.2233
215,63.7029,66.8563,45.288
222,4.21653,-72.0205,-113.358
225,69.302,-21.949,25.7897
226,69.302,-21.949,25.7897
227,69.302,-21.949,25.7897
228,69.302,-21.949,25.7897
233,64.1723,66.3055,45.6817
280,58.2175,-24.3209,20.0394
283,58.2175,-24.3209,20.0394
288,58.2175,-24.3209,20.0394
290,70.4677,-11.0443,21.0668
291,58.2175,-24.3209,20.0394
293,79.5721,56.6961,24.8077
294,79.3392,-29.6088,31.9561
301,43.1022,53.2096,31.915
302,43.1022,53.2096,31.915
304,18.0201,-36.1196,-30.4378
305,43.1022,53.2096,31.915
306,28.1676,-12.8293,-54.7276
307,24.417,-21.1104,-46.1714
308,22.4768,-22.8582,-42.5033
309,43.1022,53.2096,31.915
311,43.1022,53.2096,31.915
315,43.1022,53.2096,31.915
317,42.2607,51.3693,32.6868
318,43.1022,53.2096,31.915
319,43.1022,53.2096,31.915
322,28.0909,-13.8175,-50.2431
323,25.7484,-25.8789,-41.4502
328,23.7354,-25.4987,-37.4359
329,18.0201,-36.1196,-30.4378
330,42.7981,53.0076,32.3483
331,43.1022,53.2096,31.915
334,23.3822,-35.4202,-31.4542
337,26.4262,-36.9213,-31.0553
338,43.1022,53.2096,31.915
339,-9.25344,-73.7673,-91.0101
340,26.0195,-34.2225,-31.9586
344,43.1022,53.2096,31.915
346,26.2579,-22.0708,-43.2485
347,-4.6533,83.0969,29.3229
349,43.1022,53.2096,31.915
352,16.8881,-37.9519,-31.1224
354,17.4638,-25.9141,-39.1485
355,22.4768,-22.8582,-42.5033
356,43.1022,53.2096,31.915
357,34.5779,67.8655,20.7967
