355,Indeterminate,Indeterminate,Indeterminate
356,Indeterminate,Indeterminate,Indeterminate
357,Indeterminate,Indeterminate,Indeterminate
358,45.74,3.02,57.82
359,Indeterminate,Indeterminate,Indeterminate
372,Indeterminate,Indeterminate,Indeterminate
373,Indeterminate,Indeterminate,Indeterminate
374,Indeterminate,Indeterminate,Indeterminate
375,Indeterminate,Indeterminate,Indeterminate
380,Indeterminate,Indeterminate,Indeterminate
390,Indeterminate,Indeterminate,Indeterminate
401,Indeterminate,Indeterminate,Indeterminate
402,Indeterminate,Indeterminate,Indeterminate
404,Indeterminate,Indeterminate,Indeterminate
406,Indeterminate,Indeterminate,Indeterminate
407,Indeterminate,Indeterminate,Indeterminate
409,Indeterminate,Indeterminate,Indeterminate
410,Indeterminate,Indeterminate,Indeterminate
413,Indeterminate,Indeterminate,Indeterminate
415,Indeterminate,Indeterminate,Indeterminate
416,Indeterminate,Indeterminate,Indeterminate
430,Indeterminate,Indeterminate,Indeterminate
446,Indeterminate,Indeterminate,Indeterminate
450,Indeterminate,Indeterminate,Indeterminate
451,Indeterminate,Indeterminate,Indeterminate
453,Indeterminate,Indeterminate,Indeterminate
454,Indeterminate,Indeterminate,Indeterminate
455,Indeterminate,Indeterminate,Indeterminate
456,Indeterminate,Indeterminate,Indeterminate
457,Indeterminate,Indeterminate,Indeterminate
458,Indeterminate,Indeterminate,Indeterminate
459,Indeterminate,Indeterminate,Indeterminate
460,Indeterminate,Indeterminate,Indeterminate
461,Indeterminate,Indeterminate,Indeterminate
462,Indeterminate,Indeterminate,Indeterminate
463,Indeterminate,Indeterminate,Indeterminate
464,Indeterminate,Indeterminate,Indeterminate
465,Indeterminate,Indeterminate,Indeterminate
466,Indeterminate,Indeterminate,Indeterminate
467,Indeterminate,Indeterminate,Indeterminate
468,Indeterminate,Indeterminate,Indeterminate
469,-2.85,66,-1.04
470,Indeterminate,Indeterminate,Indeterminate
471,34.19,-27.67,35.34
472,Indeterminate,Indeterminate,Indeterminate
473,34.19,-27.67,35.34
474,Indeterminate,Indeterminate,Indeterminate
475,Indeterminate,Indeterminate,Indeterminate
498,12.7291,-88.3597,-269.266
499,12.7291,-88.3597,-269.266
501,Indeterminate,Indeterminate,Indeterminate
502,Indeterminate,Indeterminate,Indeterminate
503,Indeterminate,Indeterminate,Indeterminate
504,Indeterminate,Indeterminate,Indeterminate
505,Indeterminate,Indeterminate,Indeterminate
506,Indeterminate,Indeterminate,Indeterminate
508,Indeterminate,Indeterminate,Indeterminate
509,Indeterminate,Indeterminate,Indeterminate
511,Indeterminate,Indeterminate,Indeterminate
514,Indeterminate,Indeterminate,Indeterminate
517,Indeterminate,Indeterminate,Indeterminate
518,Indeterminate,Indeterminate,Indeterminate
520,Indeterminate,Indeterminate,Indeterminate
521,Indeterminate,Indeterminate,Indeterminate
522,Indeterminate,Indeterminate,Indeterminate
525,Indeterminate,Indeterminate,Indeterminate
526,Indeterminate,Indeterminate,Indeterminate
528,Indeterminate,Indeterminate,Indeterminate
529,Indeterminate,Indeterminate,Indeterminate
530,0.0297911,-41.012,61.4455
531,46.05,42.51,1.43
532,Indeterminate,Indeterminate,Indeterminate
533,Indeterminate,Indeterminate,Indeterminate
534,0.0297911,-41.012,61.4455
538,Indeterminate,Indeterminate,Indeterminate
539,Indeterminate,Indeterminate,Indeterminate
540,Indeterminate,Indeterminate,Indeterminate
542,Indeterminate,Indeterminate,Indeterminate
543,Indeterminate,Indeterminate,Indeterminate
544,46.05,42.51,1.43
545,Indeterminate,Indeterminate,Indeterminate
550,Indeterminate,Indeterminate,Indeterminate
551,Indeterminate,Indeterminate,Indeterminate
554,Indeterminate,Indeterminate,Indeterminate
555,Indeterminate,Indeterminate,Indeterminate
556,Indeterminate,Indeterminate,Indeterminate
557,36.9797,-11.4104,30.061
558,33.7741,3.90807,25.2034
559,33.7741,3.90807,25.2034
560,28.6719,26.7281,9.36319
563,Indeterminate,Indeterminate,Indeterminate
564,Indeterminate,Indeterminate,Indeterminate
565,Indeterminate,Indeterminate,Indeterminate
566,Indeterminate,Indeterminate,Indeterminate
567,Indeterminate,Indeterminate,Indeterminate
568,-5.17,-56.64,45
569,Indeterminate,Indeterminate,Indeterminate
570,Indeterminate,Indeterminate,Indeterminate
571,Indeterminate,Indeterminate,Indeterminate
572,-5.17,-56.64,45
573,Indeterminate,Indeterminate,Indeterminate
574,Indeterminate,Indeterminate,Indeterminate
575,Indeterminate,Indeterminate,Indeterminate
578,31.861,-26.5919,-16.1853
579,30.95,-41.58,-15.5
580,Indeterminate,Indeterminate,Indeterminate
590,Indeterminate,Indeterminate,Indeterminate
591,Indeterminate,Indeterminate,Indeterminate
601,Indeterminate,Indeterminate,Indeterminate
602,Indeterminate,Indeterminate,Indeterminate
603,Indeterminate,Indeterminate,Indeterminate
604,Indeterminate,Indeterminate,Indeterminate
605,-27.0622,-64.7114,57.3237
606,Indeterminate,Indeterminate,Indeterminate
607,Indeterminate,Indeterminate,Indeterminate
608,Indeterminate,Indeterminate,Indeterminate
609,Indeterminate,Indeterminate,Indeterminate
610,Indeterminate,Indeterminate,Indeterminate
611,Indeterminate,Indeterminate,Indeterminate
612,Indeterminate,Indeterminate,Indeterminate
613,Indeterminate,Indeterminate,Indeterminate
614,Indeterminate,Indeterminate,Indeterminate
615,Indeterminate,Indeterminate,Indeterminate
616,Indeterminate,Indeterminate,Indeterminate
617,Indeterminate,Indeterminate,Indeterminate
619,Indeterminate,Indeterminate,Indeterminate
621,Indeterminate,Indeterminate,Indeterminate
622,Indeterminate,Indeterminate,Indeterminate
623,Indeterminate,Indeterminate,Indeterminate
624,Indeterminate,Indeterminate,Indeterminate
625,Indeterminate,Indeterminate,Indeterminate
626,Indeterminate,Indeterminate,Indeterminate
627,Indeterminate,Indeterminate,Indeterminate
628,Indeterminate,Indeterminate,Indeterminate
629,Indeterminate,Indeterminate,Indeterminate
630,Indeterminate,Indeterminate,Indeterminate
631,Indeterminate,Indeterminate,Indeterminate
636,Indeterminate,Indeterminate,Indeterminate
641,Indeterminate,Indeterminate,Indeterminate
645,Indeterminate,Indeterminate,Indeterminate
