1,Indeterminate,Indeterminate,Indeterminate
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,-41.46,165.74,2.18
9,-18.11,-47.63,9.38
10,26.42,-78.03,4.11
11,61.74,47.72,1.55
12,19.96,-130.6,7.17
28,24.06,-175.66,2.89
101,50.0696,48.3639,59.7648
102,40.4014,55.268,56.5218
103,17.3623,66.704,54.5326
104,50.5097,49.9689,58.7485
105,54.5209,37.8536,63.6864
107,46.6235,54.0716,56.4417
108,50.0696,48.3639,59.7648
109,50.0696,48.3639,59.7648
110,50.0696,48.3639,59.7648
111,48.0566,52.5556,67.2543
112,39.9693,58.5294,61.7978
113,39.9693,58.5294,61.7978
114,48.4106,48.8811,59.0867
116,50.0696,48.3639,59.7648
117,48.4106,48.8811,59.0867
118,17.3623,66.704,54.5326
120,49.1483,49.0748,59.4544
121,46.9038,51.8109,59.0855
122,48.2118,50.0001,59.6487
123,47.9352,50.4756,58.7614
124,48.2067,50.2992,58.5005
131,48.2249,20.9456,50.1862
132,48.2249,20.9456,50.1862
133,49.1483,49.0748,59.4544
134,49.1483,49.0748,59.4544
135,49.1483,49.0748,59.4544
140,52.6361,-11.9103,35.3277
141,46.9038,51.8109,59.0855
154,50.0696,48.3639,59.7648
155,17.3623,66.704,54.5326
160,50.0696,48.3639,59.7648
173,50.0696,48.3639,59.7648
176,50.0696,48.3639,59.7648
178,50.0696,48.3639,59.7648
182,50.0696,48.3639,59.7648
183,50.0696,48.3639,59.7648
184,50.0696,48.3639,59.7648
185,50.0696,48.3639,59.7648
199,50.0696,48.3639,59.7648
201,49.8846,57.6922,29.2803
202,49.8846,57.6922,29.2803
204,-24.545,-86.2192,-79.4334
205,-16.8201,-79.3346,-89.5097
209,-16.8201,-79.3346,-89.5097
210,-24.545,-86.2192,-79.4334
211,-24.545,-86.2192,-79.4334
212,-24.545,-86.2192,-79.4334
213,-24.545,-86.2192,-79.4334
215,48.3099,53.2694,55.5552
222,1.12715,-73.047,-134.336
225,48.8126,28.1989,27.4911
226,48.8126,28.1989,27.4911
227,48.8126,28.1989,27.4911
228,48.8126,28.1989,27.4911
233,48.4331,53.8508,54.8954
280,36.5473,26.1188,22.6014
283,36.5473,26.1188,22.6014
288,36.5473,26.1188,22.6014
290,43.2927,37.8806,24.3753
291,36.5473,26.1188,22.6014
293,49.4591,57.1805,28.9464
301,27.7682,50.5433,46.7992
302,27.7682,50.5433,46.7992
304,7.20032,-65.0895,-36.262
305,27.7682,50.5433,46.7992
306,20.2943,-32.9855,-52.0852
307,18.5537,-39.1648,-48.9178
308,18.6873,-37.6167,-49.9315
309,27.7682,50.5433,46.7992
311,27.7682,50.5433,46.7992
315,27.7682,50.5433,46.7992
317,28.4425,48.8492,48.4218
318,27.7682,50.5433,46.7992
319,27.7682,50.5433,46.7992
322,20.0082,-35.8659,-48.1596
323,19.6474,-44.8935,-45.8495
328,19.8522,-41.4337,-45.4815
329,7.20032,-65.0895,-36.262
330,27.6691,50.3876,47.3734
331,27.7682,50.5433,46.7992
334,21.1051,-59.4097,-38.2302
337,23.4848,-61.0191,-38.2774
338,25.2045,57.573,38.707
339,-10.5009,-77.5732,-111.003
340,23.3439,-58.4183,-38.615
344,27.7682,50.5433,46.7992
346,20.2232,-41.3543,-46.4004
347,-4.45444,77.9891,43.5211
349,27.7682,50.5433,46.7992
352,6.23955,-65.7782,-37.3278
354,7.73675,-51.0306,-41.1931
355,18.6873,-37.6167,-49.9315
356,27.7682,50.5433,46.7992
357,12.7817,62.1514,31.8468
358,24.5766,61.7586,40.3402
359,20.2943,-32.9855,-52.0852
