1,Indeterminate,Indeterminate,Indeterminate
2,16.5047,72.1703,9.00281
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,-41.46,165.74,2.18
9,-19.3422,-49.3561,9.19079
10,26.0507,-78.1966,3.89133
11,61.74,47.72,1.55
12,19.7283,-130.406,6.53353
28,24.06,-175.66,2.89
101,61.8553,88.5043,29.5419
102,41.9848,84.6591,24.5862
103,61.8553,88.5043,29.5419
104,61.8553,88.5043,29.5419
105,74.1773,76.8057,34.8193
107,-52.3973,-85.7015,-25.9178
108,61.8553,88.5043,29.5419
109,61.8553,88.5043,29.5419
110,61.8553,88.5043,29.5419
111,61.8553,88.5043,29.5419
112,61.8553,88.5043,29.5419
113,61.8553,88.5043,29.5419
114,59.4791,86.0083,28.319
116,61.8553,88.5043,29.5419
117,59.4791,86.0083,28.319
118,61.8553,88.5043,29.5419
120,60.1278,87.698,28.9544
121,54.5384,87.456,28.0852
122,57.9435,86.6394,28.8638
123,57.3764,88.0522,28.0006
124,57.9959,88.8145,27.8454
130,41.9848,84.6591,24.5862
131,70.7793,30.0082,33.2378
132,70.7793,30.0082,33.2378
133,60.1278,87.698,28.9544
134,60.1278,87.698,28.9544
135,60.1278,87.698,28.9544
140,61.8553,88.5043,29.5419
141,54.5384,87.456,28.0852
154,61.8553,88.5043,29.5419
155,61.8553,88.5043,29.5419
160,61.8553,88.5043,29.5419
173,61.8553,88.5043,29.5419
176,61.8553,88.5043,29.5419
178,61.8553,88.5043,29.5419
182,61.8553,88.5043,29.5419
183,61.8553,88.5043,29.5419
184,61.8553,88.5043,29.5419
185,61.8553,88.5043,29.5419
199,61.8553,88.5043,29.5419
201,74.4567,37.5452,22.865
202,74.4567,37.5452,22.865
204,61.8553,88.5043,29.5419
205,61.8553,88.5043,29.5419
208,65.021,-65.3304,36.8395
209,61.8553,88.5043,29.5419
210,61.8553,88.5043,29.5419
211,61.8553,88.5043,29.5419
212,61.8553,88.5043,29.5419
213,61.8553,88.5043,29.5419
215,61.8553,88.5043,29.5419
216,-5.52866,-86.4612,-65.3973
222,4.04584,-82.1516,-65.0669
224,5.94723,-82.7997,-55.4705
225,61.69,-18.9078,24.1036
226,61.69,-18.9078,24.1036
227,61.69,-18.9078,24.1036
228,61.69,-18.9078,24.1036
233,61.8553,88.5043,29.5419
234,7.10678,-82.1057,-56.0056
235,5.94723,-82.7997,-55.4705
237,0.781275,-88.3844,-49.7376
252,4.77675,-81.4563,-63.5102
253,1.10362,86.0217,36.2972
254,4.88773,81.1543,33.9973
255,-2.09131,-89.7079,-49.7437
280,74.4567,37.5452,22.865
283,74.4567,37.5452,22.865
288,74.4567,37.5452,22.865
290,74.4567,37.5452,22.865
291,74.4567,37.5452,22.865
293,74.4567,37.5452,22.865
294,69.8867,30.5825,21.5345
301,25.5562,64.5831,14.3684
302,25.5562,64.5831,14.3684
304,27.1991,-44.5316,-20.1372
305,25.5562,64.5831,14.3684
306,36.3067,-12.6726,-45.483
307,27.7439,-26.2802,-34.55
308,25.356,-28.7616,-30.8487
309,25.5562,64.5831,14.3684
311,25.5562,64.5831,14.3684
315,25.5562,64.5831,14.3684
317,24.2267,60.0885,14.6114
318,25.5562,64.5831,14.3684
319,25.5562,64.5831,14.3684
322,36.968,-13.5229,-40.9864
323,29.3188,-33.8733,-30.178
328,27.3796,-33.8868,-26.0395
329,27.1991,-44.5316,-20.1372
330,25.5562,64.5831,14.3684
331,25.5562,64.5831,14.3684
334,25.0359,-46.8397,-21.9723
337,28.9907,-49.9574,-21.8599
338,25.5562,64.5831,14.3684
339,-17.3996,-79.399,-43.2981
340,28.889,-45.5825,-22.5094
344,25.5562,64.5831,14.3684
346,30.43,-28.3893,-31.8143
347,5.35994,61.386,30.3606
349,25.5562,64.5831,14.3684
352,28.9198,-36.4893,-28.5726
354,27.7439,-26.2802,-34.55
355,25.356,-28.7616,-30.8487
356,25.5562,64.5831,14.3684
357,25.5562,64.5831,14.3684
358,35.4791,55.2384,17.9436
359,36.3067,-12.6726,-45.483
372,25.5562,64.5831,14.3684
373,25.5562,64.5831,14.3684
374,25.5562,64.5831,14.3684
375,25.5562,64.5831,14.3684
380,25.5562,64.5831,14.3684
390,25.5562,64.5831,14.3684
401,25.5562,64.5831,14.3684
402,25.5562,64.5831,14.3684
404,25.5562,64.5831,14.3684
406,-60.1854,11.7696,56.9373
407,53.8736,89.6339,25.4385
409,53.8736,89.6339,25.4385
410,25.5562,64.5831,14.3684
415,25.5562,64.5831,14.3684
416,-0.292809,47.2045,13.8608
430,25.5562,64.5831,14.3684
446,-2.13227,-74.2362,-74.7602
450,25.5562,64.5831,14.3684
451,25.5562,64.5831,14.3684
453,25.5562,64.5831,14.3684
454,25.5562,64.5831,14.3684
455,25.5562,64.5831,14.3684
456,25.5562,64.5831,14.3684
457,25.5562,64.5831,14.3684
458,25.5562,64.5831,14.3684
459,25.5562,64.5831,14.3684
460,25.5562,64.5831,14.3684
461,25.5562,64.5831,14.3684
462,25.5562,64.5831,14.3684
463,25.5562,64.5831,14.3684
464,25.5562,64.5831,14.3684
465,25.5562,64.5831,14.3684
466,25.5562,64.5831,14.3684
467,25.5562,64.5831,14.3684
468,25.5562,64.5831,14.3684
469,30.697,-84.1167,106.244
470,66.1028,5.56666,-118.744
471,30.697,-84.1167,106.244
472,2.07633,27.3515,-35.7451
473,30.697,-84.1167,106.244
474,-10.27,-16.1425,-30.6269
475,29.6341,39.8709,-32.8978
498,25.4914,-69.0736,-175.357
499,20.5572,-75.0548,-167.308
501,19.2548,6.32417,-74.9758
502,19.2548,6.32417,-74.9758
503,29.647,-25.1663,-34.0563
504,25.5562,64.5831,14.3684
505,25.5562,64.5831,14.3684
506,25.5562,64.5831,14.3684
508,29.6045,-21.6709,-36.427
509,29.6045,-21.6709,-36.427
511,15.7669,9.31895,-77.0637
514,-70.359,-49.3685,17.997
517,23.836,15.8151,-47.2375
518,17.4132,-20.0067,-36.5924
520,25.5562,64.5831,14.3684
521,25.5562,64.5831,14.3684
522,33.0983,-18.2276,-35.1433
525,31.9192,-22.2742,-31.2088
526,25.5562,64.5831,14.3684
528,38.4789,6.91403,-14.596
529,21.1643,-21.0193,-35.4295
530,-23.6359,-80.8308,-19.5327
531,18.2647,-38.9913,-21.8492
532,-62.1789,4.91682,12.4662
533,-2.13227,-74.2362,-74.7602
534,13.6467,34.3054,-49.0921
538,28.0361,-28.2782,-33.1186
539,28.9198,-36.4893,-28.5726
540,25.5562,64.5831,14.3684
542,28.3009,-19.4855,-39.0724
543,29.647,-25.1663,-34.0563
544,28.9153,-27.3341,-33.2391
545,28.9198,-36.4893,-28.5726
550,15.7389,8.56559,-79.7363
551,25.5562,64.5831,14.3684
554,17.4132,-20.0067,-36.5924
555,28.9198,-36.4893,-28.5726
556,29.647,-25.1663,-34.0563
557,30.2023,58.4928,14.47
558,8.89307,76.8834,16.9793
559,8.89307,76.8834,16.9793
560,4.55602,84.938,16.7922
563,17.717,84.7935,33.6184
564,-3.69241,-32.6428,-56.5874
565,25.7572,-7.65872,-32.729
566,32.8459,27.6752,-24.5569
567,-4.48952,-28.3924,-49.8195
568,13.3398,19.4365,-66.181
569,19.2548,6.32417,-74.9758
570,19.2548,6.32417,-74.9758
571,19.2548,6.32417,-74.9758
572,13.3398,19.4365,-66.181
573,29.6341,39.8709,-32.8978
574,29.6341,39.8709,-32.8978
575,19.2548,6.32417,-74.9758
578,33.1751,37.7409,-27.2288
579,33.1751,37.7409,-27.2288
580,25.5562,64.5831,14.3684
590,25.5562,64.5831,14.3684
591,25.5562,64.5831,14.3684
601,25.5562,64.5831,14.3684
602,25.5562,64.5831,14.3684
603,20.5358,83.2126,32.9452
604,19.0823,81.7752,28.8801
605,17.6234,31.9745,-83.6218
606,38.4789,6.91403,-14.596
607,-23.4587,-75.9862,-23.5386
608,-10.27,-16.1425,-30.6269
609,2.07633,27.3515,-35.7451
612,25.5562,64.5831,14.3684
613,19.2565,75.2675,24.7859
614,3.19815,-57.8743,54.5913
615,29.6341,39.8709,-32.8978
616,25.5562,64.5831,14.3684
617,17.7255,77.9508,29.0376
619,28.1927,71.7564,12.334
621,28.1927,71.7564,12.334
622,25.5562,64.5831,14.3684
623,25.5562,64.5831,14.3684
624,25.5562,64.5831,14.3684
625,22.4375,59.6776,16.3395
626,22.4375,59.6776,16.3395
627,22.4375,59.6776,16.3395
628,22.9264,65.4361,18.5484
629,23.4,65.3086,17.9104
630,23.1304,65.3712,18.1386
631,23.4,65.3086,17.9104
641,25.5562,64.5831,14.3684
646,3.19815,-57.8743,54.5913
647,20.9237,84.728,28.849
648,-31.5126,-82.1481,-30.1278
649,7.31132,37.1372,12.0237
653,2.55896,-30.6362,-65.5047
657,8.43824,-59.1795,56.2565
658,19.2565,75.2675,24.7859
660,24.6049,66.6559,15.6561
662,-0.292809,47.2045,13.8608
663,-12.6555,-69.6845,-123.955
667,18.6376,32.8,-26.1924
668,-0.607133,-69.4767,98.9132
670,2.75549,63.6077,-34.4863
673,20.9237,84.728,28.849
674,-3.69241,-32.6428,-56.5874
675,29.6341,39.8709,-32.8978
677,17.717,84.7935,33.6184
678,-3.69241,-32.6428,-56.5874
679,-4.48952,-28.3924,-49.8195
680,-4.48952,-28.3924,-49.8195
681,17.7616,68.0014,-35.1027
684,29.6341,39.8709,-32.8978
686,21.0031,88.6538,30.1416
691,-19.7436,-41.6451,56.5689
698,33.1751,37.7409,-27.2288
701,28.9198,-36.4893,-28.5726
702,28.9198,-36.4893,-28.5726
704,24.0468,-17.218,-37.9007
706,28.9198,-36.4893,-28.5726
707,-9.19953,82.2936,12.0367
708,22.9508,-69.5371,-11.5279
709,30.8618,-37.2214,-28.6164
710,27.4975,-21.3821,-31.8829
712,28.9198,-36.4893,-28.5726
713,28.9198,-36.4893,-28.5726
714,28.9198,-36.4893,-28.5726
715,28.9198,-36.4893,-28.5726
716,28.9198,-36.4893,-28.5726
717,26.8004,13.8821,-13.1284
718,28.9198,-36.4893,-28.5726
720,27.1991,-44.5316,-20.1372
721,28.9198,-36.4893,-28.5726
723,28.9198,-36.4893,-28.5726
726,28.9696,-36.6277,-28.5132
727,-8.86455,-85.5844,-63.9255
734,37.454,64.5277,-52.3582
735,-14.8936,-75.4363,-91.912
736,-21.7616,-77.7518,25.0013
737,-3.69241,-32.6428,-56.5874
738,21.5622,84.626,33.1657
740,19.5344,-64.3167,-162.698
750,16.3088,-40.5045,-20.8319
752,28.9198,-36.4893,-28.5726
754,27.7439,-26.2802,-34.55
762,29.6341,39.8709,-32.8978
763,29.6341,39.8709,-32.8978
765,29.6341,39.8709,-32.8978
767,23.9475,33.557,-33.2233
769,13.5482,34.5365,-48.845
770,0.182928,-70.3054,-62.6778
774,29.6341,39.8709,-32.8978
775,-70.359,-49.3685,17.997
778,18.8407,1.49363,-69.7734
779,19.2548,6.32417,-74.9758
780,2.07633,27.3515,-35.7451
781,33.1751,37.7409,-27.2288
784,51.8016,-21.4089,-18.4218
786,21.6447,-72.5505,-149.253
787,-11.5874,-75.5245,-42.0431
789,22.332,84.2599,33.4364
801,29.6341,39.8709,-32.8978
802,-70.359,-49.3685,17.997
804,-72.8349,-47.454,25.6583
806,18.9189,72.8034,-36.0266
807,44.3925,-66.8967,48.4322
812,-73.6583,-40.7535,25.3416
813,40.5837,-71.251,43.5358
814,-75.8905,-70.4408,43.1242
815,-70.4829,46.162,11.1133
816,12.8257,85.1727,-27.4895
817,-68.9049,-80.1856,-20.7099
818,19.6366,60.6691,3.74979
819,71.6637,30.8296,21.4747
820,71.9182,46.0919,22.0298
821,27.7364,48.1266,-54.3135
823,5.72758,74.049,-36.6233
824,6.51168,-60.9443,52.3575
825,33.1221,-15.7892,157.157
827,19.0731,75.7212,-36.9855
829,8.51764,85.7327,-37.0025
832,29.6341,39.8709,-32.8978
833,17.4586,71.6756,-35.1865
834,22.7046,61.2738,-34.0242
835,11.2194,72.0753,-33.0049
836,22.5511,60.8526,-33.4016
838,17.0418,65.2429,-36.6158
839,20.2525,73.4779,-35.9614
840,21.055,63.9307,-29.618
841,5.91825,-75.3841,43.454
842,9.11258,68.5891,-34.0583
844,9.11258,68.5891,-34.0583
845,22.7046,61.2738,-34.0242
847,22.2693,77.9771,-37.2255
849,37.454,64.5277,-52.3582
850,29.6859,39.8572,-32.8537
851,44.5346,40.1391,-32.9121
852,36.5833,41.8355,-32.3379
853,33.1751,37.7409,-27.2288
854,19.2559,64.1124,-36.3652
856,12.7662,76.9414,-31.4109
860,26.6291,50.0879,-33.7826
861,35.1107,20.4349,-47.8981
862,-10.3694,-88.9116,28.8615
864,2.68392,80.6188,-34.7597
865,35.6159,57.7266,-48.5679
866,29.0106,45.3421,-35.9085
867,28.9866,66.7596,-34.4514
868,18.9189,72.8034,-36.0266
869,22.7046,61.2738,-34.0242
870,13.0008,66.4676,-39.5578
872,11.456,-67.4245,48.9336
878,23.465,58.6861,-33.1557
879,44.3925,-66.8967,48.4322
883,21.5171,58.2202,-32.762
884,21.0545,59.1495,-32.778
885,20.8627,60.2161,-32.9878
886,23.8003,59.8011,-34.4867
887,33.3886,40.419,-34.2872
888,20.875,61.8066,-33.0256
889,26.6291,50.0879,-33.7826
890,24.9104,50.9512,-32.5186
895,17.6234,31.9745,-83.6218
896,29.6341,39.8709,-32.8978
898,28.2441,42.7681,-32.4373
899,30.0241,41.6977,-33.5354
901,55.9267,-72.3929,57.5733
902,-51.0241,-29.9602,84.1023
903,-50.0206,-10.0032,82.1235
904,66.1028,5.56666,-118.744
907,10.2333,-75.7647,-18.4555
908,-53.3322,-29.305,84.4322
909,-35.0631,-4.21106,90.1893
910,34.2421,-51.8085,33.7177
911,-50.4921,-21.427,83.257
912,79.1645,14.0122,-123.484
913,-49.683,-31.5627,74.1917
918,28.97,-38.6318,68.1767
919,66.1028,5.56666,-118.744
922,22.7365,89.9509,-49.2828
924,-35.0631,-4.21106,90.1893
926,30.697,-84.1167,106.244
930,66.1028,5.56666,-118.744
932,3.41904,-41.8773,70.4586
938,27.9987,-48.6577,88.7049
939,28.97,-38.6318,68.1767
941,25.4212,-80.7901,81.5839
943,29.879,67.6393,-42.9845
950,40.5837,-71.251,43.5358
951,74.4567,37.5452,22.865
