1,Indeterminate,Indeterminate,Indeterminate
2,31.1113,-21.5624,-3.63254
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,-40.6426,164.99,1.47887
9,-37.7047,-94.4347,2.49241
10,0.0317499,78.8711,0.717712
11,68.3274,33.1045,0.646704
12,-8.84725,-114.671,6.89527
28,16.45,-145.05,1.4
101,-43.4236,-42.8303,-4.921
102,-43.4236,-42.8303,-4.921
103,-43.4236,-42.8303,-4.921
104,-43.4236,-42.8303,-4.921
105,-70.2552,49.2433,-11.8768
107,-43.4236,-42.8303,-4.921
108,-43.4236,-42.8303,-4.921
109,-43.4236,-42.8303,-4.921
110,-43.4236,-42.8303,-4.921
111,-43.4236,-42.8303,-4.921
112,-43.4236,-42.8303,-4.921
113,-43.4236,-42.8303,-4.921
114,-43.4236,-42.8303,-4.921
116,-43.4236,-42.8303,-4.921
117,-43.4236,-42.8303,-4.921
118,-43.4236,-42.8303,-4.921
120,-43.4236,-42.8303,-4.921
121,-43.4236,-42.8303,-4.921
122,-43.4236,-42.8303,-4.921
123,-43.4236,-42.8303,-4.921
124,-43.4236,-42.8303,-4.921
127,41.9956,-34.1666,-2.27626
128,41.9956,-34.1666,-2.27626
129,41.9956,-34.1666,-2.27626
130,-43.4236,-42.8303,-4.921
131,49.824,-61.051,12.8469
132,49.824,-61.051,12.8469
133,-43.4236,-42.8303,-4.921
134,-43.4236,-42.8303,-4.921
135,-43.4236,-42.8303,-4.921
140,-43.4236,-42.8303,-4.921
141,-43.4236,-42.8303,-4.921
154,-43.4236,-42.8303,-4.921
155,-43.4236,-42.8303,-4.921
160,-43.4236,-42.8303,-4.921
173,-43.4236,-42.8303,-4.921
176,-43.4236,-42.8303,-4.921
178,-43.4236,-42.8303,-4.921
182,-43.4236,-42.8303,-4.921
183,-43.4236,-42.8303,-4.921
184,-43.4236,-42.8303,-4.921
185,-43.4236,-42.8303,-4.921
199,-43.4236,-42.8303,-4.921
201,-83.499,61.337,-4.46605
202,-83.499,61.337,-4.46605
204,-43.4236,-42.8303,-4.921
205,-43.4236,-42.8303,-4.921
208,-31.3641,78.5161,-16.1306
209,-43.4236,-42.8303,-4.921
210,-43.4236,-42.8303,-4.921
211,-43.4236,-42.8303,-4.921
212,-43.4236,-42.8303,-4.921
213,-43.4236,-42.8303,-4.921
215,-43.4236,-42.8303,-4.921
216,-43.4236,-42.8303,-4.921
222,-19.0988,-41.2693,-2.78354
224,-26.7326,-15.7279,-1.66208
