1,Indeterminate,Indeterminate,Indeterminate
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,-41.46,165.74,2.18
9,-18.11,-47.63,9.38
10,26.42,-78.03,4.11
11,61.74,47.72,1.55
12,19.96,-130.6,7.17
28,24.06,-175.66,2.89
101,59.2691,70.2132,43.168
102,45.1542,73.2913,38.3772
103,8.92258,78.9701,35.9542
104,59.2691,70.2132,43.168
105,66.9887,57.0221,47.9702
107,53.6302,76.7528,39.4905
108,59.2691,70.2132,43.168
109,59.2691,70.2132,43.168
110,59.2691,70.2132,43.168
111,53.9787,71.2539,49.7278
112,42.9498,75.4415,43.4274
113,42.9498,75.4415,43.4274
114,57.2693,69.5466,42.1207
116,59.2691,70.2132,43.168
117,57.2693,69.5466,42.1207
118,8.92258,78.9701,35.9542
120,57.9806,70.4345,42.6689
121,54.2735,72.4222,41.9319
122,56.4418,70.7682,42.6744
123,56.1465,71.6073,41.7785
124,56.6144,71.7439,41.5827
130,45.1542,73.2913,38.3772
131,62.1043,35.668,46.7233
132,62.1043,35.668,46.7233
133,57.9806,70.4345,42.6689
134,57.9806,70.4345,42.6689
135,57.9806,70.4345,42.6689
140,59.4083,71.2968,42.8184
141,54.2735,72.4222,41.9319
154,59.2691,70.2132,43.168
155,8.92258,78.9701,35.9542
160,59.2691,70.2132,43.168
173,59.2691,70.2132,43.168
176,59.2691,70.2132,43.168
178,59.2691,70.2132,43.168
182,59.2691,70.2132,43.168
183,59.2691,70.2132,43.168
184,59.2691,70.2132,43.168
185,59.2691,70.2132,43.168
199,59.2691,70.2132,43.168
201,69.9487,51.1476,25.7007
202,69.9487,51.1476,25.7007
204,45.5749,88.1428,46.5334
205,44.2267,88.4324,46.4834
208,73.8189,28.9614,40.5051
209,44.2267,88.4324,46.4834
210,45.5749,88.1428,46.5334
211,45.5749,88.1428,46.5334
212,45.5749,88.1428,46.5334
213,45.5749,88.1428,46.5334
215,59.146,70.4019,43.0113
216,-5.86491,-82.523,-96.6306
222,-0.0425078,-77.6647,-95.7487
225,63.3476,-2.32429,25.8978
226,63.3476,-2.32429,25.8978
227,63.3476,-2.32429,25.8978
228,63.3476,-2.32429,25.8978
233,59.2691,70.2132,43.168
252,0.215871,-77.0449,-94.1385
253,-3.82091,-84.868,-66.927
254,-5.44334,-87.7286,-64.3868
255,-3.83342,-83.4679,-80.6418
280,54.1341,-2.89124,20.5365
283,54.1341,-2.89124,20.5365
288,54.1341,-2.89124,20.5365
290,63.0513,12.3363,21.7309
291,54.1341,-2.89124,20.5365
293,69.6927,49.807,25.3396
294,72.682,18.0397,29.4572
301,33.4336,61.2574,27.8071
302,33.4336,61.2574,27.8071
304,24.6806,-36.2792,-36.5484
305,33.4336,61.2574,27.8071
306,30.3407,-15.1539,-61.3349
307,23.3598,-27.1066,-45.6992
308,21.4172,-29.2804,-42.1363
309,33.4336,61.2574,27.8071
311,33.4336,61.2574,27.8071
315,33.4336,61.2574,27.8071
317,31.9555,59.4171,28.0898
318,33.4336,61.2574,27.8071
319,33.4336,61.2574,27.8071
322,30.5394,-16.1221,-56.8636
323,24.5917,-32.6082,-41.347
328,22.6938,-32.8536,-37.3023
329,24.6806,-36.2792,-36.5484
330,33.4038,61.1961,27.872
331,33.4336,61.2574,27.8071
334,21.4846,-41.4131,-33.1653
337,24.3299,-42.9714,-32.8342
338,33.4336,61.2574,27.8071
339,-15.5793,-79.6658,-73.8807
340,24.0263,-40.2764,-33.6005
344,33.4336,61.2574,27.8071
346,25.2412,-28.5805,-42.8879
347,-4.2984,79.52,33.2566
349,33.4336,61.2574,27.8071
