1,Indeterminate,Indeterminate,Indeterminate
2,15.1454,-40.2655,-4.62949
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,-41.46,165.74,2.18
9,-30.89,-69.12,5.23
10,44.74,27.93,0.69
11,63.91,44.07,1.34
12,-3.17,-117.32,5.49
28,24.06,-175.66,2.89
101,-58.0963,-43.5526,-13.7993
102,-51.1681,-68.0838,-12.4092
103,-58.0963,-43.5526,-13.7993
104,-58.0963,-43.5526,-13.7993
105,-76.3947,-7.8241,-20.0269
107,-48.4215,-45.601,-12.2227
108,-58.0963,-43.5526,-13.7993
109,-58.0963,-43.5526,-13.7993
110,-58.0963,-43.5526,-13.7993
111,-58.0963,-43.5526,-13.7993
112,-58.0963,-43.5526,-13.7993
113,-58.0963,-43.5526,-13.7993
114,-52.7439,-49.0894,-11.783
116,-58.0963,-43.5526,-13.7993
117,-52.7439,-49.0894,-11.783
118,-58.0963,-43.5526,-13.7993
120,-56.9013,-45.747,-13.3866
121,-59.6746,-56.1688,-15.3572
122,-56.7525,-52.1111,-13.9529
123,-53.6975,-49.2283,-12.9644
124,-51.9316,-46.6815,-12.3124
130,-51.1681,-68.0838,-12.4092
131,75.8115,-61.304,18.7482
132,75.8115,-61.304,18.7482
133,-56.9013,-45.747,-13.3866
134,-56.9013,-45.747,-13.3866
135,-56.9013,-45.747,-13.3866
140,-58.0963,-43.5526,-13.7993
141,-59.6746,-56.1688,-15.3572
154,-58.0963,-43.5526,-13.7993
155,-58.0963,-43.5526,-13.7993
160,-58.0963,-43.5526,-13.7993
173,-58.0963,-43.5526,-13.7993
176,-58.0963,-43.5526,-13.7993
178,-58.0963,-43.5526,-13.7993
182,-58.0963,-43.5526,-13.7993
183,-58.0963,-43.5526,-13.7993
184,-58.0963,-43.5526,-13.7993
185,-58.0963,-43.5526,-13.7993
199,-58.0963,-43.5526,-13.7993
201,84.1107,-62.4132,13.7762
202,84.1107,-62.4132,13.7762
204,-58.0963,-43.5526,-13.7993
205,-58.0963,-43.5526,-13.7993
208,-42.2727,82.0744,-31.1373
209,-58.0963,-43.5526,-13.7993
210,-58.0963,-43.5526,-13.7993
211,-58.0963,-43.5526,-13.7993
212,-58.0963,-43.5526,-13.7993
213,-58.0963,-43.5526,-13.7993
215,-58.0963,-43.5526,-13.7993
216,-58.0963,-43.5526,-13.7993
222,-5.68175,-58.3518,-4.39644
224,21.9441,-19.2494,-2.87145
225,50.8672,-56.2768,17.3073
226,50.8672,-56.2768,17.3073
227,50.8672,-56.2768,17.3073
228,50.8672,-56.2768,17.3073
229,8.89146,-76.4132,39.5383
230,9.6201,-79.4624,-42.0428
231,21.9441,-19.2494,-2.87145
233,-58.0963,-43.5526,-13.7993
234,39.462,-24.9722,-3.76444
235,21.9441,-19.2494,-2.87145
236,26.0142,-50.6533,-9.58781
237,35.1978,-82.8057,12.1223
252,3.85844,-31.2466,-3.51059
253,22.5187,-78.0926,25.625
254,26.0383,-76.2353,29.5802
255,44.1342,-84.1742,13.8436
274,-74.7325,76.7927,-15.8467
275,-74.7325,76.7927,-15.8467
280,84.1107,-62.4132,13.7762
283,84.1107,-62.4132,13.7762
288,84.1107,-62.4132,13.7762
290,84.1107,-62.4132,13.7762
291,84.1107,-62.4132,13.7762
293,84.1107,-62.4132,13.7762
294,84.1107,-62.4132,13.7762
301,-17.6304,42.7264,1.27352
302,-17.6304,42.7264,1.27352
304,43.1253,-30.0874,-4.23961
305,-17.6304,42.7264,1.27352
306,44.1954,5.26679,-33.0748
307,35.7968,-19.2725,-12.7618
308,33.6156,-17.746,-12.1636
309,-17.6304,42.7264,1.27352
311,-17.6304,42.7264,1.27352
315,-17.6304,42.7264,1.27352
317,-49.7873,68.0939,1.44879
318,-17.6304,42.7264,1.27352
319,-17.6304,42.7264,1.27352
322,45.5191,7.56207,-28.6626
323,36.6421,-17.9809,-13.7476
328,44.0285,-30.5978,-7.30786
329,43.1253,-30.0874,-4.23961
330,-17.6304,42.7264,1.27352
331,-17.6304,42.7264,1.27352
334,-21.8813,81.0912,4.61423
337,-29.5896,65.7313,5.78317
338,-17.6304,42.7264,1.27352
339,-50.0165,-40.8525,-8.03601
340,-39.594,80.6945,5.23978
344,-17.6304,42.7264,1.27352
346,38.0476,-8.28808,-16.0677
347,26.4681,34.7518,31.0486
349,-17.6304,42.7264,1.27352
352,36.4,-22.1,-11.9
354,35.7968,-19.2725,-12.7618
355,33.6156,-17.746,-12.1636
356,-17.6304,42.7264,1.27352
357,-17.6304,42.7264,1.27352
358,48.5314,1.67061,24.8002
359,44.1954,5.26679,-33.0748
372,-17.6304,42.7264,1.27352
373,-17.6304,42.7264,1.27352
374,-17.6304,42.7264,1.27352
375,-17.6304,42.7264,1.27352
380,-17.6304,42.7264,1.27352
390,-17.6304,42.7264,1.27352
401,-17.6304,42.7264,1.27352
402,-17.6304,42.7264,1.27352
404,-17.6304,42.7264,1.27352
406,-61.0176,-15.4887,60.6381
407,-58.0963,-43.5526,-13.7993
409,-58.0963,-43.5526,-13.7993
410,-17.6304,42.7264,1.27352
413,-61.1056,-12.871,84.5921
415,-17.6304,42.7264,1.27352
416,-49.1365,-12.811,8.16931
430,-17.6304,42.7264,1.27352
446,-10.6852,-82.2464,-66.4604
450,-17.6304,42.7264,1.27352
451,-17.6304,42.7264,1.27352
453,-17.6304,42.7264,1.27352
454,-17.6304,42.7264,1.27352
455,-17.6304,42.7264,1.27352
456,-17.6304,42.7264,1.27352
457,-17.6304,42.7264,1.27352
458,-17.6304,42.7264,1.27352
459,-17.6304,42.7264,1.27352
460,-17.6304,42.7264,1.27352
461,-17.6304,42.7264,1.27352
462,-17.6304,42.7264,1.27352
463,-17.6304,42.7264,1.27352
464,-17.6304,42.7264,1.27352
465,-17.6304,42.7264,1.27352
466,-17.6304,42.7264,1.27352
467,-17.6304,42.7264,1.27352
468,-17.6304,42.7264,1.27352
469,56.3499,-82.7757,39.331
470,71.3478,62.2689,-90.1776
471,56.3499,-82.7757,39.331
472,-16.7408,33.5546,-27.2723
473,56.3499,-82.7757,39.331
474,-26.692,-12.4182,-28.9186
475,19.2903,38.4131,-30.6928
498,23.1351,-68.3476,-245.443
499,22.435,-75.3391,-239.466
501,24.4603,12.8489,-42.7338
502,24.4603,12.8489,-42.7338
503,35.9128,-5.01045,-18.654
504,-17.6304,42.7264,1.27352
505,-17.6304,42.7264,1.27352
506,-17.6304,42.7264,1.27352
508,35.3714,-1.42621,-21.4718
509,35.3714,-1.42621,-21.4718
511,19.8921,18.6814,-45.3928
514,49.1241,68.8931,-7.26597
517,26.3047,24.4587,-40.1355
518,16.5208,-18.2092,-27.3009
520,-17.6304,42.7264,1.27352
521,-17.6304,42.7264,1.27352
522,47.9227,0.565274,-14.4827
525,47.9227,0.565274,-14.4827
526,-17.6304,42.7264,1.27352
528,44.16,87.267,-8.20037
529,21.4082,-19.8862,-26.0955
530,38.3642,-56.0453,37.2359
531,34.8327,-8.18518,-17.5279
532,-44.1192,-28.212,13.5829
533,-10.6852,-82.2464,-66.4604
534,-0.905531,-86.9217,49.0823
538,36.4,-22.1,-11.9
539,36.4,-22.1,-11.9
540,-17.6304,42.7264,1.27352
542,35.9128,-5.01045,-18.654
543,35.9128,-5.01045,-18.654
544,34.8327,-8.18518,-17.5279
545,36.4,-22.1,-11.9
550,19.8921,18.6814,-45.3928
551,-17.6304,42.7264,1.27352
554,16.5208,-18.2092,-27.3009
555,36.4,-22.1,-11.9
556,35.9128,-5.01045,-18.654
557,40.1096,-21.4438,11.609
558,21.8669,22.3958,7.14879
559,21.8669,22.3958,7.14879
560,38.6134,-33.5538,-11.2276
563,-7.23244,-88.0078,-20.8665
564,-12.2858,-30.1632,-53.6581
565,14.8669,-7.08752,-32.3876
566,18.8045,24.9263,-22.6672
567,-13.0733,-27.8895,-48.8789
568,8.62492,67.7245,-49.8689
569,24.4603,12.8489,-42.7338
570,24.4603,12.8489,-42.7338
571,24.4603,12.8489,-42.7338
572,8.62492,67.7245,-49.8689
573,19.2903,38.4131,-30.6928
574,19.2903,38.4131,-30.6928
575,24.4603,12.8489,-42.7338
578,20.3476,36.2161,-26.4434
579,20.3476,36.2161,-26.4434
580,-17.6304,42.7264,1.27352
590,-17.6304,42.7264,1.27352
591,-17.6304,42.7264,1.27352
601,-17.6304,42.7264,1.27352
602,-17.6304,42.7264,1.27352
603,-11.5235,-89.1053,-20.4394
604,-7.45481,-89.6531,-16.4482
605,21.1878,71.3498,-69.3663
606,32.9234,-4.33042,-13.3686
607,-5.61964,-48.6669,-14.4607
608,-26.692,-12.4182,-28.9186
609,-16.7408,33.5546,-27.2723
610,-2.36423,56.8664,-27.666
611,-16.7408,33.5546,-27.2723
612,-17.6304,42.7264,1.27352
613,5.85541,81.4904,11.9657
614,1.78367,-68.0811,57.743
615,19.2903,38.4131,-30.6928
616,-17.6304,42.7264,1.27352
617,6.11017,82.9786,15.8488
619,-17.6304,42.7264,1.27352
621,-17.6304,42.7264,1.27352
622,-17.6304,42.7264,1.27352
623,-17.6304,42.7264,1.27352
624,-17.6304,42.7264,1.27352
625,-3.13485,34.0824,3.64144
626,-3.13485,34.0824,3.64144
627,-3.13485,34.0824,3.64144
628,7.18831,61.1723,5.49606
629,6.6703,60.7922,5.11059
630,6.6703,60.7922,5.11059
631,6.6703,60.7922,5.11059
641,-17.6304,42.7264,1.27352
645,2.48516,-65.7908,77.5681
646,1.78367,-68.0811,57.743
647,-10.1593,-84.0363,-21.0019
